# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2124536
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.9
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/cwrs/Documents/GitHub/cct-monitoring-private/models/gam-brms-z1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,zs_1_1.9,zs_1_1.10,zs_1_1.11,zs_1_1.12,zs_1_1.13,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,zs_3_1.9,zs_3_1.10,zs_3_1.11,zs_3_1.12,zs_3_1.13,zs_3_1.14,zs_3_1.15,zs_3_1.16,zs_3_1.17,zs_3_1.18,zs_3_1.19,zs_3_1.20,zs_3_1.21,zs_3_1.22,zs_3_1.23,zs_3_1.24,zs_3_1.25,zs_3_1.26,zs_3_1.27,zs_3_1.28,zs_3_1.29,zs_3_1.30,zs_3_1.31,zs_3_1.32,zs_3_1.33,zs_3_1.34,zs_3_1.35,zs_3_1.36,zs_3_1.37,zs_3_1.38,zs_3_1.39,zs_3_1.40,zs_3_1.41,zs_3_1.42,zs_3_1.43,zs_3_1.44,zs_3_1.45,zs_3_1.46,zs_3_1.47,zs_3_1.48,zs_3_1.49,zs_3_1.50,zs_3_1.51,zs_3_1.52,zs_3_1.53,zs_3_1.54,zs_3_1.55,zs_3_1.56,zs_3_1.57,zs_3_1.58,zs_3_1.59,zs_3_1.60,zs_3_1.61,zs_3_1.62,zs_3_1.63,zs_3_1.64,zs_3_2.1,zs_3_2.2,zs_3_2.3,zs_3_2.4,zs_3_2.5,zs_3_2.6,zs_3_2.7,zs_3_2.8,sds_3_1,sds_3_2,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_1_1.9,s_1_1.10,s_1_1.11,s_1_1.12,s_1_1.13,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_3_1.9,s_3_1.10,s_3_1.11,s_3_1.12,s_3_1.13,s_3_1.14,s_3_1.15,s_3_1.16,s_3_1.17,s_3_1.18,s_3_1.19,s_3_1.20,s_3_1.21,s_3_1.22,s_3_1.23,s_3_1.24,s_3_1.25,s_3_1.26,s_3_1.27,s_3_1.28,s_3_1.29,s_3_1.30,s_3_1.31,s_3_1.32,s_3_1.33,s_3_1.34,s_3_1.35,s_3_1.36,s_3_1.37,s_3_1.38,s_3_1.39,s_3_1.40,s_3_1.41,s_3_1.42,s_3_1.43,s_3_1.44,s_3_1.45,s_3_1.46,s_3_1.47,s_3_1.48,s_3_1.49,s_3_1.50,s_3_1.51,s_3_1.52,s_3_1.53,s_3_1.54,s_3_1.55,s_3_1.56,s_3_1.57,s_3_1.58,s_3_1.59,s_3_1.60,s_3_1.61,s_3_1.62,s_3_1.63,s_3_1.64,s_3_2.1,s_3_2.2,s_3_2.3,s_3_2.4,s_3_2.5,s_3_2.6,s_3_2.7,s_3_2.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0167833
# Diagonal elements of inverse mass matrix:
# 0.00920141, 7.59713, 1.03286, 0.47018, 0.124664, 0.194143, 0.238691, 0.372112, 0.60492, 0.600769, 0.994448, 1.0971, 0.982601, 0.88416, 0.82147, 0.370817, 0.149941, 0.302469, 0.405734, 0.376092, 0.619127, 0.802572, 0.923789, 0.942521, 0.223952, 0.743128, 1.00304, 0.847029, 0.888799, 0.794399, 0.676881, 0.455317, 0.232808, 0.939279, 0.722523, 0.914914, 0.797955, 0.576327, 0.518534, 0.410382, 0.274793, 0.995192, 1.07541, 0.799135, 0.838418, 0.730825, 0.601145, 0.525476, 0.25968, 1.07738, 1.03523, 0.785041, 0.864787, 0.612061, 0.544536, 0.407709, 0.27878, 0.973707, 0.714476, 1.01045, 0.778646, 0.581395, 0.547747, 0.412563, 0.249947, 0.864053, 0.836203, 0.835477, 0.845624, 0.549904, 0.476149, 0.413005, 0.256175, 0.942882, 0.88149, 0.734617, 0.816222, 0.559249, 0.52307, 0.434223, 0.227749, 0.744018, 0.640627, 0.741742, 0.773745, 0.674294, 0.669235, 0.439849, 0.243931, 0.214881, 0.356784, 0.293103, 0.212234, 0.280595, 0.211226, 0.252549, 0.289674, 0.0631281, 0.0796712, 2.52859, 0.00805285, 0.0847817
-554.178,0.994667,0.0167833,8,255,0,606.299,3.98307,4.27751,0.966455,0.504405,1.40827,0.44488,0.631864,-0.440366,1.27738,1.88892,-2.55769,-0.716214,-0.6613,-0.123475,0.86138,1.21495,0.924354,-0.884325,0.896011,1.03701,-0.33,-0.32104,-1.10622,-0.418977,0.0339727,-0.153914,-0.868244,-2.22468,0.658868,1.11529,-1.10362,-0.0929981,0.339352,0.141327,-0.236889,-0.987836,-0.140412,0.927526,0.275071,-1.95316,0.545445,0.656309,1.46162,-0.234076,0.132616,-1.42052,0.891201,0.631008,-0.552094,0.247601,-0.1822,0.338988,-1.08055,-1.13741,-0.442408,-0.203499,1.20456,1.21172,0.771529,-0.576663,-1.4944,-0.177985,2.41935,0.630356,0.447717,-0.334563,0.891666,0.0545099,0.243353,-0.88211,-1.10176,0.390368,-0.899806,0.0459561,0.215795,0.0127697,0.769521,-0.48809,-0.0354468,-0.629585,-0.89251,-0.0990451,-0.716028,-0.563859,-0.862943,0.105796,0.732911,-0.467352,-0.564631,-0.0496862,-1.57561,-0.585651,0.966985,0.791524,1.05597,-0.573197,1.16227,0.930689,2.23065,0.00956522,0.368813,1.7574,1.1742,0.612829,1.71098,0.540509,0.767686,-0.535025,1.55196,2.29495,-3.10748,-0.870167,-0.803448,-0.150016,1.04654,0.0314029,-0.0300429,0.03044,0.0352299,-0.011211,-0.0109066,-0.0375812,-0.0142338,-0.143246,-0.808065,-2.07049,0.613201,1.03799,-1.02713,-0.0865523,0.315832,0.131531,-0.22047,-0.919368,-0.13068,0.863238,0.256005,-1.81778,0.50764,0.610819,1.36032,-0.217852,0.123425,-1.32207,0.829431,0.587272,-0.513828,0.230439,-0.169571,0.315492,-1.00566,-1.05857,-0.411744,-0.189394,1.12107,1.12774,0.718054,-0.536694,-1.39082,-0.165649,2.25167,0.586665,0.416685,-0.311374,0.829864,0.0507318,0.226486,-0.82097,-1.02539,0.363311,-0.837439,0.0427708,0.200838,0.0118846,0.716185,-0.45426,-0.0329899,-0.585948,-0.83065,-0.0921802,-0.666399,-0.524777,-0.803131,0.0984629,0.682112,-0.434959,-0.525496,-0.110833,-3.51464,-1.30638,2.157,1.76561,2.3555,-1.2786,2.59263,-17.6678,3.98307
-560.46,0.99911,0.0167833,8,255,0,607.275,3.94894,-1.19224,-1.39782,-0.0841831,0.749854,0.577141,-0.874531,-0.801545,1.65949,-1.02747,2.31579,-0.454589,-0.640727,0.0040982,-0.352473,2.06392,1.06553,-2.5942,0.462669,0.175718,0.679512,0.506572,1.34845,0.332247,0.0167931,0.247648,-0.262582,1.98588,0.618124,-0.652119,-0.814937,-1.20781,-0.042228,0.536904,-0.499235,-1.24757,1.57247,-1.53089,0.880765,-0.606922,1.1105,0.90332,-1.48137,0.296022,-0.0620291,-1.07585,-0.205342,0.851182,-0.290067,0.124395,0.894997,1.06804,0.593323,2.3564,-1.09721,-1.32454,1.40827,-0.876698,1.34446,1.18671,1.52116,-0.910529,0.0918462,-0.324988,0.707467,0.462205,-1.64551,1.10708,0.0135634,0.31969,-1.43723,1.65311,-0.502244,-0.789731,0.103696,-1.63683,-0.895072,0.0113062,-0.711999,-0.190659,-0.235784,-0.963017,-0.103055,-0.81482,0.00643087,-0.429338,-0.219402,0.120292,0.655863,-0.714863,-0.962339,-0.212314,1.13741,0.353621,0.690988,0.125179,2.43096,0.973293,2.53931,0.0615921,0.397146,2.43388,-2.88499,-0.173747,1.54764,1.19117,-1.80496,-1.65433,3.42507,-2.12061,4.7796,-0.938236,-1.32241,0.00845836,-0.727477,0.0178935,-0.0435646,0.00776964,0.00295085,0.0114111,0.00850691,0.0226446,0.00557944,0.241034,-0.255569,1.93284,0.601616,-0.634702,-0.793172,-1.17555,-0.0411002,0.522564,-0.485902,-1.21425,1.53048,-1.49,0.857242,-0.590713,1.08084,0.879195,-1.4418,0.288116,-0.0603725,-1.04712,-0.199858,0.828449,-0.28232,0.121073,0.871094,1.03952,0.577477,2.29347,-1.0679,-1.28917,1.37066,-0.853283,1.30855,1.15501,1.48054,-0.886211,0.0893932,-0.316308,0.688573,0.449861,-1.60157,1.07751,0.0132012,0.311152,-1.39885,1.60896,-0.488831,-0.768639,0.100926,-1.59311,-0.871167,0.0110043,-0.692983,-0.185567,-0.229486,-0.937297,-0.100302,-0.793058,0.00625912,-0.417872,-0.213542,0.117079,0.638346,-1.81526,-2.44368,-0.539131,2.88825,0.897953,1.75463,0.317869,6.17297,-16.1971,3.94894
-560.545,0.997364,0.0167833,8,255,0,614.526,3.80221,1.53256,1.59623,0.246429,0.440207,0.345375,0.0640035,-0.190048,0.797196,0.844504,-0.716468,0.110167,-2.41814,1.08287,-0.513146,4.28765,0.435798,-0.815679,0.611886,0.536347,-0.519871,-1.7686,-0.744164,0.154138,0.0453387,-0.702873,-0.533526,-0.490263,-0.093369,0.605461,-2.80187,0.0483327,0.0798381,-0.0039411,1.49279,0.101371,-1.52144,0.772251,0.387741,-1.33653,0.441456,-0.5676,2.18974,-0.526631,0.537405,-1.53663,0.382193,1.32202,0.0332503,0.408554,0.66417,-0.095651,-0.555233,-0.757019,-0.53904,0.707125,1.2233,1.0518,-0.969572,-2.90343,-1.53937,-0.574828,1.35562,0.577249,0.0930135,-1.51428,2.24813,-2.72219,0.123746,-0.734106,-1.05256,1.33985,-1.0093,0.45525,1.04406,0.742537,-0.318653,0.160738,-0.808046,0.47741,-1.02352,0.583996,-1.22784,-1.15731,-1.5119,-0.615611,0.289317,0.489033,-0.472168,0.638444,-0.80542,-0.133864,1.24567,0.816028,1.7758,0.503807,2.17649,1.02133,2.14041,0.00163268,0.371765,2.1006,6.8441,1.0566,1.88745,1.48085,0.274425,-0.81486,3.4181,3.62094,-3.07197,0.472356,-10.3682,4.64295,-2.20019,0.0197585,-0.0369818,0.0277421,0.0243173,-0.0235703,-0.0801859,-0.0337394,0.00698839,-0.717863,-0.544904,-0.500719,-0.0953602,0.618373,-2.86162,0.0493635,0.0815408,-0.00402515,1.52462,0.103533,-1.55389,0.78872,0.39601,-1.36503,0.45087,-0.579705,2.23644,-0.537862,0.548866,-1.5694,0.390344,1.35021,0.0339594,0.417267,0.678335,-0.0976909,-0.567074,-0.773163,-0.550536,0.722205,1.24939,1.07423,-0.990249,-2.96535,-1.5722,-0.587087,1.38453,0.589559,0.0949971,-1.54658,2.29608,-2.78024,0.126385,-0.749762,-1.075,1.36842,-1.03082,0.464959,1.06633,0.758372,-0.325449,0.164166,-0.825278,0.487592,-1.04535,0.59645,-1.25402,-1.18199,-1.54414,-0.628739,0.295487,0.499463,-0.482237,1.36653,-1.72393,-0.286525,2.66624,1.74664,3.80095,1.07836,4.65858,-17.6684,3.80221
-561.189,0.998533,0.0167833,8,255,0,614.95,3.84199,-2.73826,-1.97385,-0.0448591,0.26,0.513679,-0.677515,-0.674713,2.72083,0.372556,2.014,-0.0661093,-0.318443,-0.0750394,2.51509,2.70492,0.299826,-1.16635,-0.480551,1.02857,1.40784,0.56836,0.644625,0.383928,0.0489729,-0.450922,-1.94055,1.08342,1.50061,0.728055,-0.645505,-0.73122,-0.42333,-0.79601,-0.533528,-0.308387,1.45413,-1.9627,1.02396,-1.43165,0.545912,1.46989,-1.49399,0.398114,-0.504876,-1.05392,0.847424,0.489899,-0.679096,-0.731198,0.659957,1.81489,-0.514374,2.2314,-0.379485,-1.28949,1.42868,-0.620494,1.3043,1.20244,1.16283,-1.14365,0.520041,-1.08744,-0.233225,-0.0178721,-0.224097,0.98233,-0.778482,0.196216,-0.877037,0.750231,-1.10154,-3.21994,-0.29648,-0.681393,0.745488,-1.06629,-0.332335,-0.497736,-0.788717,-0.876132,-1.42438,-0.748351,0.0869196,0.147729,0.881192,0.510736,0.114056,0.0108835,-0.583127,-0.121847,1.94458,0.694691,0.918577,0.405401,2.52822,0.916733,2.14623,0.000768364,0.409953,1.95766,-5.3391,-0.12134,0.703279,1.38946,-1.83262,-1.82504,7.35963,1.00773,5.44771,-0.17882,-0.861362,-0.202976,6.80311,0.0146834,-0.0571193,-0.023534,0.0503719,0.0689462,0.0278343,0.0315692,0.0188021,-0.413376,-1.77896,0.993209,1.37566,0.667432,-0.591756,-0.670334,-0.38808,-0.729729,-0.489103,-0.282708,1.33305,-1.79927,0.938698,-1.31244,0.500456,1.3475,-1.36959,0.364965,-0.462836,-0.966165,0.776862,0.449107,-0.62255,-0.670314,0.605004,1.66377,-0.471544,2.0456,-0.347887,-1.18212,1.30972,-0.568828,1.19569,1.10232,1.066,-1.04842,0.476739,-0.996893,-0.213805,-0.0163839,-0.205437,0.900535,-0.71366,0.179878,-0.804009,0.687762,-1.00982,-2.95182,-0.271793,-0.624656,0.683413,-0.977507,-0.304663,-0.456291,-0.723043,-0.803179,-1.30577,-0.686038,0.0796821,0.135428,0.807818,0.468209,0.104559,0.0233585,-1.25153,-0.261512,4.17352,1.49097,1.97148,0.870086,5.42615,-17.4429,3.84199
-567.643,0.999886,0.0167833,8,255,0,618.796,4.02774,0.739459,1.45431,1.69284,1.40692,1.33069,0.106568,0.410384,0.0327169,0.605257,-0.930086,-0.0658588,-1.76893,0.471248,-1.87884,0.978862,0.244696,-0.580387,-0.338555,0.508288,-1.18928,-1.41611,-0.275733,0.243256,0.061908,0.602193,-0.243511,-1.02409,-0.244727,0.118032,-1.74042,-0.0518989,0.636336,0.347588,0.0958073,-1.31182,-0.55551,0.687486,1.5305,-1.8363,1.44356,-0.696116,2.74529,0.335282,0.400315,-1.03204,0.148853,1.23118,-0.182343,0.835337,0.545566,-0.762354,-0.827929,-0.495479,0.435663,0.405227,1.86574,1.61243,-1.64871,-0.797678,-0.538608,-0.328207,0.440687,1.13079,0.0285337,-0.356562,0.61388,-1.34674,2.10124,-0.715226,-1.00515,0.906586,0.00526111,1.46663,1.72529,0.318599,-1.50092,0.227821,0.517275,-0.00871981,-0.363644,1.39069,0.211807,-1.01174,-0.665331,-0.0950819,-0.682755,-0.885477,-0.0047477,-0.529836,-1.59036,-0.279263,1.40438,0.0171405,0.831645,-0.628801,1.36766,0.8572,1.90178,0.0395717,0.373238,1.56052,1.42357,1.65706,1.37718,1.30256,0.104316,0.401709,0.0320253,0.592463,-0.910425,-0.0644667,-1.73154,0.461287,-1.83912,0.0151486,-0.0359306,-0.0209592,0.0314671,-0.0736257,-0.0876686,-0.0170701,0.0150595,0.5162,-0.208738,-0.877848,-0.20978,0.101177,-1.49188,-0.0444878,0.545467,0.297952,0.082126,-1.12449,-0.476183,0.589312,1.31194,-1.57408,1.23742,-0.596711,2.35326,0.287404,0.34315,-0.884662,0.127597,1.05537,-0.156305,0.71605,0.467659,-0.653489,-0.709701,-0.424724,0.37345,0.347361,1.59931,1.38218,-1.41327,-0.68377,-0.461695,-0.281339,0.377757,0.96931,0.0244591,-0.305645,0.526218,-1.15443,1.80118,-0.613091,-0.861615,0.777125,0.00450982,1.25719,1.47892,0.273103,-1.28659,0.195288,0.443408,-0.00747462,-0.311716,1.1921,0.181561,-0.867264,-0.570322,-0.0815041,-0.585258,-0.759031,-0.00406973,-1.00763,-3.02451,-0.531096,2.67083,0.0325975,1.58161,-1.19584,2.60099,-16.0507,4.02774
-562.702,0.957198,0.0167833,8,255,0,620.595,3.90614,0.956635,0.254509,1.17671,1.68298,1.17106,-0.174299,-1.3532,0.713591,2.00166,0.074641,0.433104,-0.0473429,0.760442,0.523973,0.783367,0.529742,-1.19837,0.828147,0.535139,-1.37084,0.514278,-1.02772,-0.746934,0.0365331,-2.38487,-1.30739,1.50023,-0.161127,-1.00115,-0.748948,-0.778066,0.086496,0.369456,-1.58543,-1.14874,-0.121421,-1.49426,0.529422,-1.17805,0.875515,1.01475,-0.0663465,-1.49779,-1.3083,-1.08018,1.25248,1.27684,0.585331,0.642915,0.460746,2.0085,0.287042,0.424094,-1.01849,-0.912604,1.63729,0.492276,-1.08493,0.3239,-1.12058,-1.1217,3.08177,-0.528415,0.876098,0.880956,0.720197,-0.5432,-0.208508,-0.388934,-0.639154,-0.0404403,-0.968501,-0.915721,1.57953,-1.94485,-1.37873,-0.540934,-0.251044,-0.249947,-0.188707,-1.11817,-1.06332,-0.355248,-0.573882,-1.02002,0.668103,-0.0333973,0.162641,-0.0759246,-1.05305,-0.47348,1.04929,1.26414,0.800452,0.188174,1.61803,0.937689,2.63357,0.00223528,0.316641,1.59377,0.199374,0.9218,1.31839,0.917373,-0.13654,-1.06005,0.559003,1.56803,0.0584713,0.33928,-0.0370869,0.595705,0.410463,0.0193531,-0.04378,0.0302548,0.0195503,-0.050081,0.0187882,-0.0375458,-0.0272878,-2.23627,-1.22592,1.40675,-0.151087,-0.93877,-0.70228,-0.729584,0.0811063,0.346435,-1.48664,-1.07716,-0.113855,-1.40116,0.496433,-1.10464,0.820961,0.951518,-0.0622124,-1.40446,-1.22678,-1.01288,1.17444,1.19728,0.548858,0.602855,0.432036,1.88335,0.269156,0.397669,-0.955029,-0.855739,1.53527,0.461602,-1.01733,0.303717,-1.05076,-1.0518,2.88974,-0.495489,0.821508,0.826063,0.675321,-0.509353,-0.195515,-0.3647,-0.599327,-0.0379204,-0.908153,-0.858662,1.48111,-1.82367,-1.29282,-0.507228,-0.235401,-0.234373,-0.176948,-1.0485,-0.99706,-0.333112,-0.538123,-0.956457,0.626473,-0.0313163,0.152507,-0.199953,-2.77328,-1.24694,2.76338,3.3292,2.10804,0.495568,4.2612,-16.6122,3.90614
