# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2124536
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.9
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/cwrs/Documents/GitHub/cct-monitoring-private/models/gam-brms_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11_1,zs_12_1.1,zs_12_1.2,zs_12_1.3,zs_12_1.4,zs_12_1.5,zs_12_1.6,zs_12_1.7,zs_12_1.8,sds_12_1,zs_13_1.1,zs_13_1.2,zs_13_1.3,zs_13_1.4,zs_13_1.5,zs_13_1.6,zs_13_1.7,zs_13_1.8,sds_13_1,zs_14_1.1,zs_14_1.2,zs_14_1.3,zs_14_1.4,zs_14_1.5,zs_14_1.6,zs_14_1.7,zs_14_1.8,sds_14_1,zs_15_1.1,zs_15_1.2,zs_15_1.3,zs_15_1.4,zs_15_1.5,zs_15_1.6,zs_15_1.7,zs_15_1.8,sds_15_1,zs_16_1.1,zs_16_1.2,zs_16_1.3,zs_16_1.4,zs_16_1.5,zs_16_1.6,zs_16_1.7,zs_16_1.8,sds_16_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,z_1.1.10,z_1.1.11,z_1.1.12,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,s_12_1.1,s_12_1.2,s_12_1.3,s_12_1.4,s_12_1.5,s_12_1.6,s_12_1.7,s_12_1.8,s_13_1.1,s_13_1.2,s_13_1.3,s_13_1.4,s_13_1.5,s_13_1.6,s_13_1.7,s_13_1.8,s_14_1.1,s_14_1.2,s_14_1.3,s_14_1.4,s_14_1.5,s_14_1.6,s_14_1.7,s_14_1.8,s_15_1.1,s_15_1.2,s_15_1.3,s_15_1.4,s_15_1.5,s_15_1.6,s_15_1.7,s_15_1.8,s_16_1.1,s_16_1.2,s_16_1.3,s_16_1.4,s_16_1.5,s_16_1.6,s_16_1.7,s_16_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0167866
# Diagonal elements of inverse mass matrix:
# 0.0186148, 3.54674, 0.722691, 0.637092, 0.564827, 0.667739, 0.856333, 0.568154, 0.359775, 0.471626, 0.445909, 0.283292, 0.484688, 0.391223, 0.484211, 0.671662, 0.751566, 0.620898, 0.538281, 0.475598, 0.389742, 0.607816, 0.556189, 0.695735, 0.57867, 0.545522, 0.344911, 0.369073, 0.336967, 0.449253, 0.408825, 0.404611, 0.408442, 0.279992, 0.71927, 0.636997, 0.655807, 0.610235, 0.563638, 0.767194, 0.738025, 1.05708, 1.03264, 0.569694, 0.127545, 0.320158, 0.325657, 0.396184, 0.535697, 0.466872, 0.557158, 0.192493, 0.675393, 0.647783, 0.570443, 0.708449, 0.602912, 0.846018, 0.917314, 0.900123, 1.20766, 0.642956, 0.458118, 0.634473, 0.595861, 0.546988, 0.681849, 0.680392, 0.681591, 0.549327, 0.461603, 0.10323, 0.391713, 0.374232, 0.429883, 0.425975, 0.569588, 0.624407, 0.245243, 0.82365, 0.457307, 0.674856, 0.644638, 0.673952, 0.715421, 0.970097, 0.800044, 0.871571, 0.903056, 0.718713, 0.815081, 0.844248, 0.660344, 0.807714, 0.958571, 0.899167, 2.14208, 0.808808, 0.542574, 0.756753, 0.704742, 0.833723, 1.01566, 0.880852, 1.08117, 1.03955, 0.661924, 0.647382, 0.94764, 0.716101, 0.840753, 0.839038, 0.76334, 0.92852, 1.38594, 0.590485, 0.397054, 0.481239, 0.640833, 0.707856, 0.734501, 0.606314, 0.707379, 1.20346, 0.742236, 0.62115, 0.805761, 0.844858, 0.890876, 1.0358, 0.845204, 0.934474, 1.52331, 0.260203, 0.131533, 0.323893, 0.411616, 0.664075, 0.43805, 0.609943, 0.663863, 0.257308, 1.54505, 0.00642313, 0.0724403, 0.0752699, 0.151581, 0.219337, 0.179986, 0.154226, 0.150604, 0.167752, 0.135922, 0.188702, 0.217921, 0.473982, 0.25809, 0.272911
-767.552,0.999861,0.0167866,8,255,0,845.65,3.92006,0.439865,-0.359082,-2.18325,-1.13615,-0.639081,1.40608,0.600486,-0.11547,-0.0563304,-1.00944,0.520208,-0.00508976,-0.50914,-1.49155,1.01301,-0.889839,-0.138609,0.320025,-0.526699,-0.387692,0.222846,-0.196572,-2.84823,0.349236,-0.0416545,0.611223,-2.56359,-0.561225,-0.069601,-0.710006,-1.37105,-0.912664,0.329925,1.35093,0.0587727,0.40222,-1.96569,1.28976,0.638811,-0.4389,1.04588,0.0206553,-1.05212,-0.110888,-0.557544,-0.343293,-1.69504,-1.46413,-0.280961,-0.744318,1.08963,-0.219729,0.68751,-0.765232,0.616547,-0.172296,0.45523,0.0738523,0.759976,0.399998,0.9012,-1.15522,-0.741343,1.94014,-0.616094,-1.4872,0.454655,-0.675559,0.502641,-1.35392,0.248815,0.484898,-0.661562,1.00912,-0.0611836,-0.326233,-1.8077,0.697173,2.03018,0.58269,-0.409848,0.0244072,0.490134,0.122668,-0.710604,0.575587,0.586364,-1.29861,0.0127358,0.755122,0.755962,-0.0334143,-0.580077,-3.04016,1.78265,0.315134,0.846352,-0.314654,-0.214147,0.0077567,0.207277,1.33917,0.943576,0.996159,0.244609,0.314822,0.564591,-0.902246,-0.709821,-0.470995,1.08765,-1.73456,-0.680343,1.42306,-1.91666,1.19314,0.398818,0.44278,-1.22527,-0.748094,1.01991,0.657412,0.110218,0.565067,0.621542,-1.01467,0.263016,-0.518868,1.45304,0.772861,0.512764,1.05716,-0.0908069,0.694781,-0.176065,-1.26761,0.955043,0.139627,-0.428171,1.13883,1.64842,0.0150602,0.416652,1.89864,0.468975,0.578438,-0.614605,0.160209,0.568421,0.219234,1.04906,-0.0811677,1.01765,0.885814,-1.62656,-0.0299204,0.97693,-0.504897,-3.06983,-1.59751,-0.898599,0.608296,-0.116972,-0.057063,-1.02256,0.526974,-0.00515596,-0.515762,-1.51095,-0.310764,-0.0484073,0.111764,-0.183942,-0.135396,0.0778258,-0.0686499,-0.994706,-0.0137429,0.201658,-0.845793,-0.185162,-0.0229631,-0.234248,-0.452343,-0.30111,0.0279038,0.00121397,0.00830798,-0.0406019,0.0266405,0.0131948,-0.00906562,0.0216031,-1.14643,-0.120828,-0.607518,-0.374063,-1.84696,-1.59536,-0.306144,-0.811032,-0.0878913,0.275003,-0.306091,0.246618,-0.0689179,0.182091,0.0295408,0.303989,0.45298,-0.580661,-0.372629,0.975195,-0.309674,-0.747527,0.228528,-0.339564,-0.943914,0.173467,0.338058,-0.461223,0.703534,-0.0426556,-0.227441,-1.26028,1.19042,0.341668,-0.24032,0.0143115,0.287397,0.0719279,-0.416673,0.337503,-0.409236,0.00401348,0.237965,0.238229,-0.01053,-0.182802,-0.958058,0.561775,0.207026,-0.0769673,-0.0523824,0.00189736,0.0507019,0.327573,0.230807,0.24367,0.44801,0.803446,-1.28395,-1.01012,-0.670253,1.54779,-2.46838,-0.968168,-0.211251,0.131506,0.043957,0.0488024,-0.135047,-0.0824536,0.112413,0.0724587,0.597366,0.657069,-1.07266,0.27805,-0.548526,1.53609,0.817037,0.542073,-0.149688,1.14529,-0.290229,-2.08956,1.57431,0.230164,-0.705806,1.87727,0.271273,-0.288234,0.0751338,0.266575,0.102815,0.491983,-0.0380656,0.477251,0.415425,-0.762815,-0.0140319,0.458155,-32.6497,3.92006
-773.103,0.994951,0.0167866,8,255,0,863.188,3.9166,-0.205777,-0.613675,0.908598,-0.628693,1.43872,3.20248,0.776235,-0.421501,-0.356284,-0.661935,-0.0542428,-1.20065,0.126589,-1.45464,1.67466,-0.119865,-0.429737,2.28203,-0.142417,-0.880706,-0.328275,-0.588419,-0.105735,0.63024,-0.675349,0.0993114,-0.0766279,-0.222137,-0.32057,1.62183,1.89138,-0.280442,0.297306,0.535278,0.301507,0.309711,1.40375,0.575536,0.473294,1.18607,-1.03288,0.148145,-1.3084,0.0519603,0.674448,-0.715244,-0.476267,-0.0858864,-0.73455,-0.725617,0.773364,0.427342,1.31043,2.23616,-0.931556,1.07724,0.375586,-1.34307,0.0548244,0.38717,0.488427,-0.445215,-0.0288175,-0.42881,2.15894,-0.561511,-1.48938,2.54721,0.486706,-0.53625,0.140501,-0.915723,-1.77886,-1.04403,-1.29447,-0.894536,-0.569704,0.918223,-0.114113,1.47368,1.11542,0.0367173,-0.572044,-0.101108,1.26144,0.455421,0.0724758,-0.339246,-0.00519586,-0.782279,-0.446806,0.442836,1.70232,3.03226,-0.949124,0.0460125,-1.26111,-1.02551,-0.635101,1.25086,0.0323843,-0.342619,-0.722977,-1.89131,0.385672,0.191626,0.73147,-1.78549,0.292774,0.204966,-0.270492,1.05765,-0.167153,0.433578,0.908195,-0.24305,-0.799623,0.689085,0.901036,0.850782,-0.919991,1.73582,0.742189,0.58506,-0.213954,0.291793,-1.62978,-0.657472,-0.975006,0.693433,-1.15572,0.00269043,-0.200021,1.366,-0.358106,0.522925,0.908997,0.422118,2.68716,-2.32346,0.770775,0.00524594,0.371503,1.86436,0.374608,0.888489,-0.688384,0.510652,1.19748,0.316646,1.03046,0.512114,1.38861,1.06132,-2.47458,0.0728428,0.604765,-1.96529,2.90977,-2.01338,4.60749,1.29993,-0.705868,-0.596652,-1.10851,-0.090838,-2.01067,0.211992,-2.43603,-0.0755439,-0.270838,1.43823,-0.0897567,-0.555057,-0.206892,-0.370845,-0.0666387,-0.200785,0.0295258,-0.0227819,-0.0660425,-0.0953072,0.482178,0.562319,-0.083377,0.0792985,0.0446666,0.0458821,0.207958,0.0852626,0.070116,0.17571,-0.153015,-1.01187,0.0401842,0.521593,-0.553144,-0.368328,-0.0664214,-0.568074,-0.561165,0.165454,0.50736,0.865772,-0.36067,0.417077,0.145416,-0.519996,0.0212263,0.23772,-0.216689,-0.0140256,-0.208704,1.05077,-0.273291,-0.724888,1.23974,-0.492397,0.129011,-0.840838,-1.63339,-0.958651,-1.18861,-0.821384,-0.523115,-0.0082704,0.106806,0.0808407,0.00266112,-0.0414594,-0.00732789,0.0914241,0.033007,-0.0156095,-0.000239075,-0.0359946,-0.0205586,0.020376,0.0783279,0.139522,-0.0436715,-0.486376,-0.395511,-0.244941,0.482424,0.0124897,-0.132139,-0.278832,-0.729426,0.083085,0.31715,-0.774148,0.12694,0.0888687,-0.117279,0.458573,-0.0724738,0.674052,-0.180389,-0.593471,0.511431,0.668739,0.631441,-0.682807,1.28831,0.00157406,-0.000575628,0.000785048,-0.00438481,-0.00176888,-0.00262319,0.00186563,-0.00310939,-0.154171,1.05288,-0.276019,0.403057,0.700632,0.325358,2.07119,-1.79086,0.332835,-0.257874,0.191294,0.448586,0.118618,0.386018,0.191842,0.520186,0.397581,-0.926997,0.0272875,0.22655,-33.0716,3.9166
-757.081,0.98717,0.0167866,8,255,0,846.889,4.07582,-1.20282,0.398636,-0.306991,-0.145916,1.17898,2.03743,1.21742,0.0320932,0.464265,-1.05935,-0.595227,-0.602419,-0.747863,-2.2728,0.750966,0.522627,0.774068,0.448285,-0.343478,-1.04718,-0.156484,-0.984516,-2.63354,0.446733,0.344101,1.25933,-1.31168,-0.61728,-0.991961,0.522751,0.792063,-0.616165,0.918986,-0.261264,0.703113,-0.631683,-1.20126,-0.656131,0.219167,-1.2379,0.482535,0.0285575,-1.37562,0.0562974,-0.264954,-0.140193,-0.626652,-1.36082,-0.17092,-0.194109,1.02445,0.500337,0.656167,-0.416417,0.480248,0.888787,1.4566,0.422333,1.25359,0.722689,-0.453335,-0.541686,-0.063089,0.574282,-0.265661,-0.951013,0.980851,-1.70521,0.439543,-1.28698,0.184326,1.22479,-0.836763,1.14776,-0.171871,-0.874737,-1.60236,0.979122,1.07594,0.405836,0.18991,0.732091,0.748758,0.238862,-0.62832,0.217366,0.710836,-0.390952,0.0652426,0.604083,0.33335,0.951803,-1.6784,-2.60835,1.60123,0.351306,1.52473,-0.656095,0.222747,-1.6384,0.315641,0.78463,1.44431,1.13979,0.135216,0.0196141,0.327773,-0.544955,0.0667518,-0.419956,0.386368,-2.02968,-0.503441,0.849654,0.392428,-0.93983,0.705158,1.0216,-0.704919,-0.75929,1.23467,-0.359684,0.940213,-1.61084,-1.21497,-1.35878,0.777522,0.530334,0.727338,-0.770619,1.94214,0.138832,-0.375541,0.373889,1.22773,-0.239636,1.33631,-0.507433,-0.366706,-0.33392,1.89101,0.012492,0.421713,2.40998,0.616346,0.377298,-0.869805,0.0105343,0.341912,0.1255,0.630081,-0.0935879,0.670432,0.201883,-1.4982,-0.433116,-0.0244667,0.812194,-0.625474,-0.297294,2.40209,0.91424,0.0241009,0.348647,-0.795533,-0.446995,-0.452396,-0.561619,-1.7068,0.233475,0.345802,0.200264,-0.153443,-0.467808,-0.0699063,-0.439816,-1.17649,0.316224,1.15731,-1.20541,-0.567272,-0.911599,0.480401,0.727895,-0.566247,-0.00746102,0.0200791,-0.0180393,-0.034305,-0.0187374,0.00625887,-0.0353512,0.01378,-1.40926,0.0576741,-0.271433,-0.143621,-0.641975,-1.3941,-0.1751,-0.198855,0.361587,0.474204,-0.30094,0.34707,0.642316,1.05267,0.305216,0.905958,-0.19926,-0.238094,-0.0277303,0.252422,-0.11677,-0.418011,0.431127,-0.749514,-1.26011,0.180478,1.19922,-0.819293,1.1238,-0.168283,-0.856474,-1.5689,0.764816,0.288483,0.134995,0.520396,0.532244,0.169792,-0.446632,0.154512,-0.137344,0.0229201,0.212218,0.117108,0.334375,-0.589634,-0.91633,0.562522,0.206167,-0.0887145,0.0301189,-0.221538,0.0426797,0.106094,0.195293,0.154118,0.0166652,0.278494,-0.463023,0.0567159,-0.356817,0.328279,-1.72452,-0.427751,0.368966,-0.883641,0.662999,0.960525,-0.662774,-0.713895,1.16086,-0.33818,-0.223637,-0.168676,-0.188643,0.107945,0.0736275,0.100978,-0.106987,0.269631,-0.710151,0.707027,2.32164,-0.453152,2.52698,-0.959559,-0.693444,-0.631445,0.232546,-0.536101,0.00649279,0.210736,0.0773512,0.388348,-0.0576825,0.413218,0.12443,-0.923411,-0.266949,-0.0150799,-32.8653,4.07582
-740.837,0.993072,0.0167866,8,255,0,819.866,4.23621,-3.42479,-0.207123,-1.02749,-0.0758414,-0.383513,0.881527,0.124623,-0.678548,-1.65733,-0.0005343,1.48569,-1.14397,-0.531718,-1.42069,0.422722,-0.786503,-0.578301,-0.534809,0.0346866,-0.732652,-0.0897148,0.399087,0.569777,0.101011,-0.000105973,0.0378893,-1.13404,0.510296,0.289968,0.786644,0.290762,-0.0516566,1.47002,-0.102925,-0.196415,1.09064,-0.0779053,-0.4529,0.537108,1.46722,-1.60113,0.585512,-0.0188908,0.0695012,-0.513361,-1.01275,-1.58458,-1.29745,0.0604831,-1.29149,1.4527,0.408295,0.762547,0.709291,-1.73556,-0.0808941,-0.24349,-0.824036,-0.832599,0.54767,-0.240996,-1.52781,0.611338,0.20691,-0.17656,-0.595734,-1.34544,1.87124,0.489285,-1.22526,-0.0677094,0.62355,-0.0662112,-0.708938,0.230233,0.139016,-0.826242,1.83208,-0.0235284,-0.0643213,1.51963,0.714941,-0.69449,0.398072,1.15242,-0.659148,0.307657,-0.581802,-0.130742,0.0857201,-0.910433,-0.276218,0.717745,2.17622,-1.73558,0.0670169,-1.07928,-0.487509,0.0834913,1.00268,0.793528,0.519183,-1.25185,-2.85084,0.56953,0.393399,0.941225,-1.00411,-0.268823,0.0738378,-0.367479,1.73995,0.160832,0.418019,0.711185,-0.351373,0.579378,0.293874,-0.84086,0.159325,-0.967438,1.43706,0.657503,0.184071,0.199568,-0.160671,-0.745699,-0.855203,0.180311,0.515732,-1.33401,0.770071,0.166668,0.62822,-0.204022,-0.644404,2.97747,0.276013,2.97969,-0.546754,0.957465,0.000321162,0.304215,1.46595,0.394155,-0.22283,-1.1645,-0.752745,-0.0427308,-0.576301,0.272238,-0.333879,0.70321,1.13246,-2.6078,-0.793371,0.505843,-0.182584,-0.905764,-0.0668563,-0.338077,0.0526807,-0.286838,-0.700589,-0.000225861,0.628034,-0.48358,-0.224769,-0.600559,-0.0794456,-0.0584148,-0.0540217,0.00350374,-0.074006,-0.0090622,0.0403123,0.0575538,-0.000155783,0.0556981,-1.66706,0.750148,0.42626,1.15639,0.427428,-0.0759364,-0.0602639,-0.115004,0.638582,-0.0456145,-0.265179,0.314483,0.859074,-0.937483,-0.0274426,0.100965,-0.745761,-1.47122,-2.30192,-1.88481,0.0878638,-1.87615,0.223611,0.417624,0.388457,-0.950513,-0.0443033,-0.133352,-0.4513,-0.455989,-0.117916,-0.747535,0.299119,0.101238,-0.0863883,-0.291484,-0.658301,0.91557,-2.24477,-0.124049,1.14239,-0.121304,-1.29883,0.421806,0.254688,-1.51374,-0.00723869,-0.0197889,0.467524,0.219957,-0.213665,0.12247,0.354549,-0.202792,-0.0389905,-0.00876194,0.00574469,-0.0610144,-0.0185113,0.0481011,0.145844,-0.116313,-0.614684,-0.277651,0.0475507,0.571058,0.451938,0.29569,-0.712967,-1.62364,0.164449,0.39345,-0.419739,-0.112373,0.0308656,-0.153614,0.727333,0.0672309,0.467606,-0.231029,0.380942,0.193223,-0.552868,0.104756,-0.636093,0.944873,0.141748,0.153681,-0.123728,-0.574241,-0.658567,0.138852,0.39715,-1.02729,0.159579,0.601499,-0.195344,-0.616995,2.85082,0.264273,2.85295,-0.523498,-0.0878296,-0.458994,-0.296698,-0.0168426,-0.227152,0.107304,-0.1316,0.277174,0.446364,-1.02788,-0.312711,0.199381,-33.9354,4.23621
-735.667,0.998087,0.0167866,8,255,0,824.034,4.0355,-5.43629,0.332755,-0.67968,0.650368,0.686174,1.69118,1.01897,-0.501589,-0.573197,-0.60589,0.00677072,-0.645473,-0.137503,-1.67466,1.10075,1.95166,-0.352871,1.00038,-0.869228,-0.648474,-1.15994,0.753327,-0.224862,0.131528,1.0004,-0.02423,-1.78613,1.20284,0.501476,2.13464,0.66288,1.20038,1.06991,-0.188905,0.337452,-0.135082,0.831024,-0.914209,1.36462,-0.391928,-0.458262,0.834172,-0.513683,0.283249,-0.567623,-0.695422,-0.563996,-0.901843,0.332264,-1.23264,1.163,0.16218,1.8133,0.127626,-0.257339,0.525897,0.791897,0.773954,0.0926347,0.360481,0.337961,-0.575409,-0.994816,1.34829,0.824336,-0.0370796,-0.0846609,-2.84209,0.192961,-1.73337,-0.0147783,0.933294,-0.200182,0.0746659,0.472898,-0.949897,-0.643965,1.19143,1.35732,0.237315,1.06021,0.607101,-0.0426659,-0.878365,-0.844034,0.275989,0.447971,-0.744308,0.116568,1.03318,1.05269,-1.09964,-0.966641,-2.03295,-0.408253,0.456956,0.29839,-0.677737,1.45529,-0.000853531,-0.261446,0.345463,1.20318,0.0517306,0.122716,0.878885,0.86057,-0.526252,-0.827762,-0.370491,-0.358421,0.520172,-0.172552,0.415689,0.405735,0.472819,0.394101,-0.151181,0.825623,-1.77485,1.48328,-1.23552,0.1404,-0.457394,0.691405,-0.780229,-0.674402,0.19988,0.615491,0.427493,0.15993,0.70942,-1.21671,0.681465,1.27314,-1.20987,0.707323,-1.49423,0.806892,-0.754468,2.05473,0.00496865,0.330052,1.79812,0.443702,0.686221,-0.551491,-0.0803761,0.531595,0.137595,0.727027,0.130056,0.940721,1.38674,-2.07501,-0.188298,0.0639318,0.562748,-1.14946,1.09989,1.16044,1.12163,-0.552123,-0.630946,-0.666932,0.00745286,-0.710504,-0.151356,-1.84338,0.256699,-0.0464125,0.131577,-0.114328,-0.0852926,-0.152565,0.0990836,-0.0295757,1.07033,-0.0259238,-1.91099,1.28693,0.536532,2.28387,0.709219,1.28429,-0.15758,0.281493,-0.112682,0.693216,-0.762607,1.13833,-0.326936,-0.382269,-0.597412,0.329417,-0.660144,-0.808773,-0.655925,-1.04884,0.386422,-1.43356,0.0584627,0.653659,0.0460069,-0.0927659,0.189576,0.285464,0.278996,0.033393,0.0652132,-0.111031,-0.191961,0.260168,0.159065,-0.00715491,-0.0163362,-0.548412,-2.0652,-0.0176073,1.11196,-0.238503,0.0889596,0.563427,-1.13174,-0.767242,0.608039,0.10631,0.474945,0.271964,-0.0191131,-0.393482,-0.378103,0.123635,-0.340116,0.0532663,0.472116,0.481034,-0.502486,-0.441712,-0.928967,-0.186554,0.0366174,-0.0831695,0.178588,-0.000104742,-0.0320838,0.0423939,0.14765,0.00634819,0.365343,0.35773,-0.218757,-0.344092,-0.154009,-0.148992,0.21623,-0.0717279,0.0569651,0.0663836,0.0553316,-0.0212258,0.115917,-0.249188,0.208252,-0.173467,-0.324484,0.490497,-0.55351,-0.478434,0.141799,0.436642,0.303272,0.113458,-2.50001,1.40022,2.61596,-2.48596,1.45336,-3.07023,1.65794,-1.55022,0.304477,-0.244697,-0.035663,0.235869,0.0610509,0.322583,0.0577061,0.417399,0.615298,-0.920686,-0.0835483,0.0283667,-34.8651,4.0355
-747.357,0.966842,0.0167866,8,255,0,819.893,3.97213,-1.22924,0.507289,-2.16055,-0.648261,-0.364629,1.37752,1.01159,-0.55375,-0.501609,-0.395502,0.593961,-0.809359,-0.701048,-1.68251,0.845327,-1.60239,-0.240129,-0.682628,-1.12693,0.422921,0.0950516,-0.287629,-0.162652,0.0686115,0.51527,1.21981,-1.82151,-0.714703,-0.150673,0.109187,0.53243,-0.0772751,0.456954,0.00246446,0.358633,0.020744,-0.237612,0.010398,0.609846,1.49039,-0.714017,0.609769,-0.548808,0.410448,-1.00383,-1.70937,-1.06859,-1.0484,-0.00818441,-1.61818,0.768016,0.898698,1.98229,-0.363978,-2.34088,-0.541063,0.225678,-0.167678,-0.294058,0.405592,0.636005,0.462838,-0.648473,-1.10135,1.24216,1.36424,1.5338,0.618133,0.069919,-1.52609,0.282452,0.0306368,-1.28287,-0.723704,-0.385438,-0.165713,-2.03355,0.644235,0.847092,0.793478,0.188378,0.814284,-0.508019,0.0645881,1.43766,-1.30974,0.399221,1.45846,0.630269,-0.249217,-1.03875,1.2653,-0.35251,0.745724,-0.183797,0.125735,1.44498,-0.395684,0.1213,-0.316044,-0.193925,-0.791458,-1.40222,-0.12022,0.040196,-0.247393,0.424447,-0.455929,-0.680429,-0.69869,0.03673,-0.435359,-0.648431,1.29486,-0.894259,1.20299,0.344148,0.296819,-0.261387,1.90102,-0.59671,1.43868,0.0538898,-0.0766921,0.389015,-0.85703,-0.315988,-1.48782,-0.145974,-0.334612,-0.350605,0.657095,-0.119273,0.652475,-0.786473,0.318262,1.05027,0.412473,2.07894,-1.70313,1.2696,0.00190443,0.373314,1.8015,0.437155,0.580592,-0.621529,-0.0821486,0.618558,0.361218,0.955352,0.381462,1.09161,0.398792,-2.32921,-0.382288,0.310907,0.698802,-2.97621,-0.892995,-0.502285,0.85512,-0.4681,-0.424024,-0.334329,0.502091,-0.684173,-0.592615,-1.42227,-0.109942,-0.0164756,-0.0468361,-0.0773203,0.0290172,0.00652163,-0.0197346,-0.0111598,0.235455,0.557396,-0.832346,-0.326587,-0.0688505,0.0498934,0.243296,-0.0353112,0.00150275,0.218683,0.012649,-0.144889,0.00634038,0.371865,0.908796,-0.435386,-0.421494,0.31523,-0.77096,-1.31282,-0.820697,-0.80519,-0.00628576,-1.24278,0.364504,0.803998,-0.147627,-0.949442,-0.219451,0.0915332,-0.0680088,-0.119268,0.0444689,0.0323612,-0.0453406,-0.0770056,0.0868507,0.0953861,0.107242,0.0432192,-0.983159,0.181965,0.0197373,-0.826469,-0.466235,-0.248313,-0.106758,-1.31008,0.338177,0.316773,0.0752047,0.32508,-0.202812,0.0257849,0.573946,-0.522877,0.18338,0.0792471,-0.0313354,-0.130608,0.159093,-0.044323,0.0937638,-0.0231098,0.0580822,-0.0159049,0.00487576,-0.0127037,-0.007795,-0.0318134,-0.0563637,-0.00483236,-0.320338,0.549597,-0.590363,-0.881058,-0.904703,0.0475601,-0.563727,-0.839625,-0.0481914,0.0648292,0.0185461,0.0159955,-0.0140861,0.102446,-0.0321566,0.0775302,-0.0503939,0.25562,-0.56315,-0.207634,-0.977636,-0.0959188,-0.219872,-0.23038,-0.151428,0.828382,-0.998506,0.404065,1.33342,0.523676,2.63942,-2.16229,0.253809,-0.271705,-0.0359117,0.270406,0.157908,0.417637,0.166758,0.477203,0.174334,-1.01823,-0.167119,0.135914,-32.5796,3.97213
