# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2124536
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.9
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/cwrs/Documents/GitHub/cct-monitoring-private/models/gam-brms-z1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,zs_1_1.9,zs_1_1.10,zs_1_1.11,zs_1_1.12,zs_1_1.13,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,zs_3_1.9,zs_3_1.10,zs_3_1.11,zs_3_1.12,zs_3_1.13,zs_3_1.14,zs_3_1.15,zs_3_1.16,zs_3_1.17,zs_3_1.18,zs_3_1.19,zs_3_1.20,zs_3_1.21,zs_3_1.22,zs_3_1.23,zs_3_1.24,zs_3_1.25,zs_3_1.26,zs_3_1.27,zs_3_1.28,zs_3_1.29,zs_3_1.30,zs_3_1.31,zs_3_1.32,zs_3_1.33,zs_3_1.34,zs_3_1.35,zs_3_1.36,zs_3_1.37,zs_3_1.38,zs_3_1.39,zs_3_1.40,zs_3_1.41,zs_3_1.42,zs_3_1.43,zs_3_1.44,zs_3_1.45,zs_3_1.46,zs_3_1.47,zs_3_1.48,zs_3_1.49,zs_3_1.50,zs_3_1.51,zs_3_1.52,zs_3_1.53,zs_3_1.54,zs_3_1.55,zs_3_1.56,zs_3_1.57,zs_3_1.58,zs_3_1.59,zs_3_1.60,zs_3_1.61,zs_3_1.62,zs_3_1.63,zs_3_1.64,zs_3_2.1,zs_3_2.2,zs_3_2.3,zs_3_2.4,zs_3_2.5,zs_3_2.6,zs_3_2.7,zs_3_2.8,sds_3_1,sds_3_2,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_1_1.9,s_1_1.10,s_1_1.11,s_1_1.12,s_1_1.13,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_3_1.9,s_3_1.10,s_3_1.11,s_3_1.12,s_3_1.13,s_3_1.14,s_3_1.15,s_3_1.16,s_3_1.17,s_3_1.18,s_3_1.19,s_3_1.20,s_3_1.21,s_3_1.22,s_3_1.23,s_3_1.24,s_3_1.25,s_3_1.26,s_3_1.27,s_3_1.28,s_3_1.29,s_3_1.30,s_3_1.31,s_3_1.32,s_3_1.33,s_3_1.34,s_3_1.35,s_3_1.36,s_3_1.37,s_3_1.38,s_3_1.39,s_3_1.40,s_3_1.41,s_3_1.42,s_3_1.43,s_3_1.44,s_3_1.45,s_3_1.46,s_3_1.47,s_3_1.48,s_3_1.49,s_3_1.50,s_3_1.51,s_3_1.52,s_3_1.53,s_3_1.54,s_3_1.55,s_3_1.56,s_3_1.57,s_3_1.58,s_3_1.59,s_3_1.60,s_3_1.61,s_3_1.62,s_3_1.63,s_3_1.64,s_3_2.1,s_3_2.2,s_3_2.3,s_3_2.4,s_3_2.5,s_3_2.6,s_3_2.7,s_3_2.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0228087
# Diagonal elements of inverse mass matrix:
# 0.00960945, 5.9863, 0.844421, 0.462745, 0.141458, 0.173533, 0.286251, 0.299009, 0.777481, 0.41863, 0.910663, 0.927101, 0.857439, 0.807291, 0.867896, 0.337766, 0.118975, 0.244028, 0.371096, 0.368595, 0.667185, 0.643533, 0.879162, 0.803298, 0.168368, 0.808471, 0.972158, 0.745513, 0.80816, 0.630356, 0.635123, 0.413711, 0.219586, 0.774431, 0.737514, 0.885457, 0.729153, 0.610869, 0.517664, 0.453533, 0.230115, 0.763765, 0.728239, 0.771505, 0.780531, 0.731007, 0.568804, 0.449993, 0.211013, 0.788262, 0.844285, 0.647349, 0.740166, 0.616935, 0.578372, 0.314026, 0.294812, 0.95448, 0.806808, 0.952513, 0.833666, 0.655312, 0.53174, 0.43253, 0.244319, 0.795289, 0.83025, 0.654158, 0.686424, 0.56156, 0.516142, 0.357578, 0.215223, 0.806963, 0.908702, 0.678523, 0.873234, 0.503214, 0.514763, 0.371587, 0.206678, 1.05119, 0.845322, 0.825744, 0.732798, 0.693447, 0.541091, 0.434219, 0.209557, 0.229149, 0.301404, 0.223051, 0.248051, 0.250389, 0.226078, 0.208498, 0.318793, 0.0574481, 0.0806395, 1.64969, 0.00661553, 0.0821822
-555.712,0.999794,0.0228087,8,255,0,601.134,3.86269,1.71754,-0.968605,0.534943,1.00692,0.595096,0.178088,-1.03992,0.943904,-0.346357,1.11082,0.112466,-0.7718,-1.38341,-0.184924,1.60906,0.428693,-1.46909,0.23386,1.11493,0.305796,-0.585348,-2.01091,-0.840156,0.0364387,0.306272,-2.24909,0.851444,1.70211,1.33384,-1.29258,0.259536,0.57557,-0.326134,0.553469,-2.12421,-0.219027,-0.988555,1.32879,-0.67488,0.670874,0.781378,-0.236037,0.673444,-0.273726,-1.24842,-0.654318,-0.155368,-0.154537,0.336705,0.824451,1.19157,0.0874961,0.791549,-0.268221,-1.16318,1.61143,0.72233,-2.4438,-0.110745,0.160668,-1.17227,1.09646,-0.637961,-0.424427,-1.25641,0.142365,-1.02841,-0.114742,-0.893299,-0.0117541,0.327891,-0.547294,-1.16989,1.65026,-0.359958,-0.516931,-1.44388,-1.23124,0.317601,-0.533162,-0.454235,-0.202981,-0.968141,-0.360909,-0.302747,1.10885,0.446977,0.37577,0.343166,-1.06287,-1.33804,1.81622,1.05983,1.2179,0.184054,2.45499,1.28079,2.4013,0.0056899,0.407751,2.01792,-1.55854,0.860753,1.6202,0.957543,0.286553,-1.67328,1.51879,-0.557307,1.78738,0.180964,-1.24187,-2.22599,-0.297554,0.015621,-0.0535316,0.00852157,0.0406267,0.0111428,-0.0213293,-0.0732751,-0.0306142,0.392271,-2.88062,1.09052,2.18005,1.70838,-1.65553,0.332412,0.737187,-0.41771,0.70888,-2.72067,-0.280528,-1.26614,1.70191,-0.864383,0.859251,1.00078,-0.302315,0.862543,-0.350587,-1.59897,-0.838047,-0.198995,-0.19793,0.43125,1.05595,1.52616,0.112065,1.01381,-0.343536,-1.4898,2.06391,0.925156,-3.13001,-0.141841,0.205783,-1.50143,1.40434,-0.817096,-0.543604,-1.6092,0.18234,-1.31719,-0.146961,-1.14413,-0.0150546,0.419961,-0.700971,-1.49838,2.11365,-0.461031,-0.662082,-1.84931,-1.57697,0.406781,-0.68287,-0.581781,-0.259976,-1.23999,-0.46225,-0.387757,1.4202,0.572485,0.481284,0.824042,-2.55227,-3.21303,4.36128,2.54497,2.92454,0.441969,5.89515,-16.7743,3.86269
-559.233,0.993438,0.0228087,8,255,0,606.515,4.08477,-0.617421,0.447517,0.214937,0.577831,0.64127,-0.217315,-0.638628,1.90559,1.06909,-0.39463,-0.351466,-2.18967,2.14826,0.172658,1.35913,0.341134,-0.467865,0.578041,0.713935,0.116314,-0.299282,1.60008,1.23278,0.0640177,0.165001,1.26442,-0.573051,-0.742968,-0.745945,-0.536025,-0.99561,-0.382751,0.733368,-0.930572,0.159233,-0.238197,-0.0185802,0.7071,-1.1335,0.160822,-1.21182,0.621621,0.202169,0.420527,0.0449248,1.18152,1.49244,-0.50444,0.077268,0.561826,0.207196,-0.812192,-0.145681,-0.145435,-0.749617,1.58102,-0.999382,2.20126,0.201309,-0.176545,-0.406367,0.65235,0.48132,-0.622254,0.659987,0.847861,1.08578,-0.558365,0.820879,-1.44175,1.29647,-0.381549,0.637497,-0.770187,-0.200016,-1.33821,0.911441,0.273266,-0.164407,-0.745214,0.896068,-2.06791,-0.956248,-0.481021,-0.691531,0.0148264,0.117646,-0.310138,-0.143506,-1.77411,-1.02823,0.749931,-0.170189,1.08314,-1.26572,0.97571,0.80189,1.8843,0.017628,0.420753,2.0085,0.608233,0.292127,0.785346,0.871568,-0.295359,-0.867977,2.58994,1.45303,-0.536353,-0.477687,-2.97604,2.91975,0.234664,0.0218386,-0.0299517,0.0370049,0.0457045,0.00744614,-0.0191593,0.102433,0.0789198,0.132313,1.01393,-0.459524,-0.595779,-0.598166,-0.429833,-0.79837,-0.306924,0.588081,-0.746217,0.127688,-0.191008,-0.0148993,0.567016,-0.908941,0.128962,-0.971747,0.498472,0.162118,0.337216,0.0360248,0.947448,1.19678,-0.404505,0.0619605,0.450523,0.166148,-0.651289,-0.11682,-0.116623,-0.60111,1.26781,-0.801395,1.76517,0.161428,-0.14157,-0.325862,0.523113,0.385966,-0.498979,0.529237,0.679892,0.870678,-0.447747,0.658254,-1.15613,1.03963,-0.30596,0.511202,-0.617605,-0.160391,-1.07309,0.730876,0.219129,-0.131836,-0.597579,0.718548,-1.65823,-0.766806,-0.385726,-0.554532,0.0118892,0.0943393,-0.248696,-0.270409,-3.34296,-1.9375,1.4131,-0.320689,2.04096,-2.38499,1.83853,-16.0677,4.08477
-559.335,0.960196,0.0228087,7,255,0,610.12,4.04495,8.4674,-0.666056,0.518565,0.770844,0.393876,0.767119,-0.365265,0.677853,1.18884,0.700199,-0.178247,-0.214405,0.225138,-0.388427,3.32649,0.267944,-0.692364,-0.301084,0.746676,-0.22344,-0.779064,-0.631223,-0.124714,0.0699698,-0.1071,-1.89421,-0.364437,1.26809,0.211418,-0.357399,-0.0629134,-0.03823,-0.476946,0.763963,-1.30872,0.492371,-1.24816,1.45764,-1.80096,0.99026,-2.21132,-1.16053,0.88022,1.55567,-0.118169,0.300344,0.751624,0.456335,-0.727036,1.14829,1.428,0.88572,2.07505,-0.643219,-0.251979,1.30734,1.16516,0.851006,-0.734886,1.64503,-2.04433,0.583751,-0.32666,0.0102597,0.399454,1.2167,-1.03335,1.71451,-0.944836,-0.840631,0.460104,-0.362736,1.20292,-0.437997,-0.649775,-0.99746,-1.93019,1.20338,-0.874647,-0.53581,0.0430066,0.0568079,-0.276237,1.11762,-0.772635,0.328569,-1.26471,-0.464447,-1.51378,-1.85781,-0.392214,0.687574,0.14186,0.951822,-0.397325,1.28177,1.08317,1.95108,0.0313291,0.411854,2.43216,-2.21563,1.725,2.5642,1.31022,2.55181,-1.21505,2.25487,3.95465,2.3292,-0.592937,-0.713215,0.748918,-1.2921,0.018748,-0.0484446,-0.0210668,0.0522448,-0.0156341,-0.0545109,-0.0441666,-0.0087262,-0.116007,-2.05175,-0.394747,1.37355,0.229001,-0.387123,-0.0681458,-0.0414095,-0.516612,0.8275,-1.41757,0.533321,-1.35197,1.57887,-1.95074,1.07262,-2.39523,-1.25705,0.953426,1.68505,-0.127996,0.325323,0.814135,0.494287,-0.787502,1.24379,1.54676,0.959384,2.24762,-0.696714,-0.272936,1.41607,1.26206,0.921782,-0.796004,1.78184,-2.21435,0.6323,-0.353828,0.011113,0.432675,1.31789,-1.11929,1.8571,-1.02342,-0.910544,0.498369,-0.392904,1.30297,-0.474425,-0.703815,-1.08042,-2.09072,1.30346,-0.947389,-0.580373,0.0465834,0.0615325,-0.299211,1.21057,-0.836893,0.355895,-1.3699,-0.503074,-2.95351,-3.62473,-0.76524,1.34151,0.27678,1.85708,-0.775213,2.50083,-19.7375,4.04495
-553.098,0.999153,0.0228087,7,127,0,596.658,4.02569,6.82662,-1.1964,-0.0235458,0.993147,0.161931,0.643548,-0.699172,1.86465,1.08488,0.686038,-0.213042,0.126975,0.95603,0.134322,2.59542,0.271995,-0.447447,0.335235,0.985028,-0.0464779,-0.978359,-0.5715,0.968232,0.0950472,-0.0471603,-0.840486,-1.14115,1.6521,-0.00460028,-1.64019,-0.659112,-0.0540481,-1.02462,1.25436,-0.505817,0.0135117,0.176362,1.96754,-1.46175,0.746292,-1.36622,-0.137772,0.095288,0.61483,-0.348903,0.225657,1.06165,-0.078621,-0.565601,1.63415,0.417816,-0.0876117,0.517859,0.113529,-0.494766,1.45531,0.986608,0.375149,-0.910779,2.03974,-1.36983,1.22898,-1.46711,0.422467,-0.362818,1.56491,-0.425384,1.04742,-0.345885,-0.72748,0.698787,-0.104456,0.754355,1.56503,-0.0773474,-1.58295,-1.22789,-0.429968,-1.02231,-0.318378,-1.7603,0.407465,-1.09836,2.02429,0.854843,0.190992,-0.886652,0.122344,-0.975505,-1.74042,-0.539267,0.704004,-0.0287874,1.02079,-0.104789,1.22267,1.05768,2.16659,0.00560581,0.398723,2.08043,-3.10515,-0.0611112,2.57763,0.420279,1.67028,-1.81464,4.83955,2.81572,1.78055,-0.552933,0.329553,2.4813,0.348622,0.0258524,-0.0425286,0.0318631,0.0936241,-0.0044176,-0.0929902,-0.0543194,0.0920277,-0.0498806,-0.888967,-1.20697,1.7474,-0.00486563,-1.7348,-0.697131,-0.0571656,-1.08372,1.32671,-0.534994,0.014291,0.186535,2.08103,-1.54606,0.789339,-1.44502,-0.145719,0.100784,0.650294,-0.369028,0.238673,1.12289,-0.083156,-0.598226,1.72841,0.441916,-0.0926653,0.54773,0.120077,-0.523305,1.53925,1.04352,0.396788,-0.963314,2.1574,-1.44885,1.29987,-1.55174,0.446836,-0.383746,1.65518,-0.44992,1.10783,-0.365836,-0.769443,0.739094,-0.110481,0.797867,1.6553,-0.0818089,-1.67426,-1.29871,-0.454769,-1.08127,-0.336743,-1.86183,0.430968,-1.16172,2.14106,0.904151,0.202009,-0.937795,0.129401,-2.11352,-3.77077,-1.16837,1.52528,-0.0623703,2.21162,-0.227033,2.64901,-19.1642,4.02569
-555.868,0.995144,0.0228087,7,255,0,605.08,4.02468,4.4976,0.051244,-0.658742,1.01658,0.780221,-0.659595,-3.13389,0.988215,0.88814,0.573357,-2.19936,-1.66328,0.985065,-0.504249,1.56406,0.577659,-1.46186,-0.556251,0.138861,0.0195852,-0.259837,0.0528802,-0.376458,0.0251221,-0.764447,-0.658643,1.37631,0.830314,1.13698,-0.882763,-0.38993,0.188747,1.79342,-0.612443,-2.5007,0.344267,-1.04354,1.04504,-1.33036,0.558448,0.662962,0.954501,-0.267165,0.103541,-1.63451,0.961014,0.782455,-0.680724,0.02192,0.16916,1.21502,1.00591,2.10086,-0.63748,-0.623789,0.813664,-0.857056,0.264036,-0.150973,-1.2143,0.0766858,1.76388,1.03918,0.30438,-1.03793,0.0743545,-0.365826,0.789154,0.977445,-0.605404,1.34538,-0.980781,-1.26534,0.335246,-1.24076,0.627435,0.638616,0.666631,0.348291,-0.637335,1.56033,-1.1072,-0.602416,-1.59343,-1.19543,0.96157,0.759134,-0.363006,0.00494745,-1.79134,-1.14687,1.48802,1.00268,0.210105,-0.963252,1.93862,1.14762,1.70434,0.00207732,0.335029,1.87737,0.0801486,-1.03031,1.58998,1.22031,-1.03164,-4.90159,1.54563,1.3891,0.896764,-3.43993,-2.60146,1.5407,-0.788675,0.014512,-0.0367249,-0.0139742,0.00348847,0.000492022,-0.00652764,0.00132846,-0.00945742,-0.877294,-0.755871,1.57948,0.952884,1.30482,-1.01308,-0.447491,0.21661,2.05816,-0.702851,-2.86986,0.395087,-1.19759,1.19931,-1.52674,0.640886,0.760828,1.0954,-0.306603,0.118826,-1.8758,1.10288,0.89796,-0.781212,0.0251558,0.194131,1.39438,1.1544,2.41099,-0.731584,-0.715872,0.933776,-0.983574,0.303013,-0.173259,-1.39355,0.0880061,2.02426,1.19258,0.349312,-1.19115,0.0853306,-0.419829,0.905648,1.12173,-0.694773,1.54399,-1.12556,-1.45213,0.384734,-1.42392,0.720056,0.732888,0.765039,0.399705,-0.731417,1.79066,-1.27064,-0.691344,-1.82865,-1.3719,1.10352,0.871197,-0.416593,0.00843213,-3.05305,-1.95465,2.53609,1.7089,0.358089,-1.64171,3.30405,-17.7277,4.02468
-561.68,0.995042,0.0228087,8,255,0,605.757,4.13195,0.445318,-0.173265,1.42532,0.243217,0.798935,0.10609,1.07298,0.0923234,-0.338138,0.219687,-1.21936,0.481619,0.174322,0.142372,3.43332,0.383045,-1.33402,-0.65518,-0.224021,0.909067,-0.729073,0.506121,0.273923,0.0601089,-0.128648,-0.940194,-0.651989,0.779058,0.0574593,0.362785,-1.19576,-0.55531,-2.05556,-0.36858,0.289511,-0.427266,-1.13706,-0.850399,-1.37866,0.461572,0.239394,-0.0190439,1.93194,-0.357861,-0.798541,-0.0149548,0.826257,-0.363117,-0.506484,-0.788463,0.452362,-0.527102,0.728939,-0.82139,-1.0657,1.02707,0.135978,-2.27837,0.416385,-2.8231,-0.4195,0.496197,0.977884,0.510305,0.390197,-0.0141603,0.869273,-1.42831,-0.234792,-0.676981,0.58361,-1.38703,-1.8251,0.422499,0.444474,-1.49429,-0.704153,-0.0640591,0.171049,-1.07022,0.365146,-0.877784,2.10291,-0.146717,-1.99254,-0.331214,-0.564474,-0.028227,-0.531079,-1.29645,-0.883117,-0.343278,0.409429,0.275472,-0.753432,0.615406,0.982717,2.56484,0.0405259,0.416005,2.16921,-0.594873,4.89358,0.835042,2.743,0.36424,3.68388,0.316975,-1.16094,0.754255,-4.18644,1.65355,0.598501,0.488809,0.0230244,-0.0801866,-0.0393821,-0.0134657,0.054643,-0.0438238,0.0304224,0.0164652,-0.126424,-0.923944,-0.640721,0.765594,0.0564662,0.356515,-1.17509,-0.545712,-2.02003,-0.36221,0.284507,-0.419881,-1.11741,-0.835702,-1.35483,0.453595,0.235257,-0.0187147,1.89855,-0.351676,-0.78474,-0.0146964,0.811977,-0.356841,-0.497731,-0.774836,0.444544,-0.517993,0.716341,-0.807194,-1.04728,1.00932,0.133628,-2.239,0.409189,-2.7743,-0.41225,0.487621,0.960983,0.501485,0.383453,-0.0139156,0.854249,-1.40362,-0.230734,-0.66528,0.573523,-1.36306,-1.79356,0.415197,0.436792,-1.46846,-0.691983,-0.0629519,0.168093,-1.05172,0.358835,-0.862614,2.06656,-0.144182,-1.9581,-0.325489,-0.554718,-0.0277392,-1.36213,-3.32518,-2.26506,-0.880454,1.05012,0.706543,-1.93243,1.57842,-16.8899,4.13195
