# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2124536
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.9
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/cwrs/Documents/GitHub/cct-monitoring-private/models/gam-brms_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11_1,zs_12_1.1,zs_12_1.2,zs_12_1.3,zs_12_1.4,zs_12_1.5,zs_12_1.6,zs_12_1.7,zs_12_1.8,sds_12_1,zs_13_1.1,zs_13_1.2,zs_13_1.3,zs_13_1.4,zs_13_1.5,zs_13_1.6,zs_13_1.7,zs_13_1.8,sds_13_1,zs_14_1.1,zs_14_1.2,zs_14_1.3,zs_14_1.4,zs_14_1.5,zs_14_1.6,zs_14_1.7,zs_14_1.8,sds_14_1,zs_15_1.1,zs_15_1.2,zs_15_1.3,zs_15_1.4,zs_15_1.5,zs_15_1.6,zs_15_1.7,zs_15_1.8,sds_15_1,zs_16_1.1,zs_16_1.2,zs_16_1.3,zs_16_1.4,zs_16_1.5,zs_16_1.6,zs_16_1.7,zs_16_1.8,sds_16_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,z_1.1.10,z_1.1.11,z_1.1.12,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,s_12_1.1,s_12_1.2,s_12_1.3,s_12_1.4,s_12_1.5,s_12_1.6,s_12_1.7,s_12_1.8,s_13_1.1,s_13_1.2,s_13_1.3,s_13_1.4,s_13_1.5,s_13_1.6,s_13_1.7,s_13_1.8,s_14_1.1,s_14_1.2,s_14_1.3,s_14_1.4,s_14_1.5,s_14_1.6,s_14_1.7,s_14_1.8,s_15_1.1,s_15_1.2,s_15_1.3,s_15_1.4,s_15_1.5,s_15_1.6,s_15_1.7,s_15_1.8,s_16_1.1,s_16_1.2,s_16_1.3,s_16_1.4,s_16_1.5,s_16_1.6,s_16_1.7,s_16_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0230403
# Diagonal elements of inverse mass matrix:
# 0.022473, 3.50519, 0.707475, 0.572352, 0.521538, 0.614121, 0.677337, 0.64112, 0.392153, 0.444245, 0.382142, 0.364622, 0.493771, 0.442446, 0.653954, 0.56135, 0.813453, 0.549342, 0.601513, 0.539488, 0.540036, 0.614949, 0.645697, 0.677605, 0.798559, 0.472329, 0.351649, 0.463518, 0.437604, 0.379808, 0.546281, 0.420525, 0.450475, 0.414134, 0.706084, 0.716588, 0.688675, 0.765103, 0.844533, 0.803577, 0.699139, 1.08965, 1.01826, 0.568782, 0.0995782, 0.33618, 0.327994, 0.41038, 0.382259, 0.422891, 0.521827, 0.196091, 0.631802, 0.558247, 0.691775, 0.711753, 0.848308, 0.739456, 1.02551, 0.819416, 1.10102, 0.687591, 0.372343, 0.602618, 0.552984, 0.644795, 0.708761, 0.781486, 0.755101, 0.416355, 0.415222, 0.10422, 0.395863, 0.389936, 0.406517, 0.487664, 0.571969, 0.572896, 0.281125, 0.734588, 0.357537, 0.753815, 0.695698, 0.718236, 0.715875, 0.727517, 0.719681, 0.739482, 0.893972, 0.693659, 0.777081, 0.841836, 0.740592, 0.768836, 0.972359, 0.80939, 1.30834, 0.887876, 0.529991, 0.844154, 0.844096, 0.971238, 0.772775, 0.906131, 0.953327, 1.0031, 0.606519, 0.527173, 0.877075, 0.862691, 0.664121, 0.960871, 0.840059, 0.950562, 1.01501, 0.680683, 0.516007, 0.701054, 0.798352, 0.694996, 0.669044, 0.712918, 0.672119, 1.23881, 0.699292, 0.80327, 0.960423, 0.736655, 0.965464, 0.868897, 0.838789, 0.799251, 1.64622, 0.291189, 0.158607, 0.324835, 0.396405, 0.606513, 0.449103, 0.623037, 0.643235, 0.268099, 1.74383, 0.00731977, 0.0856178, 0.0828067, 0.163321, 0.225945, 0.164399, 0.16056, 0.160043, 0.167459, 0.136099, 0.198293, 0.240356, 0.435826, 0.238923, 0.296169
-766.089,0.960862,0.0230403,7,127,0,848.003,4.06681,-6.02967,-0.246144,-0.302616,0.647876,1.61571,0.569338,1.02333,-1.67097,-0.604707,0.099576,0.794018,-0.682623,-0.019403,-2.57431,0.589964,-0.783534,-0.872581,1.05105,0.17355,0.619846,-0.867571,-1.05538,-2.48543,0.649249,1.03214,0.0718834,-1.96234,-1.14469,-0.215022,-0.262823,1.38636,0.884107,0.166348,1.82109,1.34963,-0.625606,-0.122762,-0.0742286,-0.511561,0.166231,-1.52022,0.0586561,-1.44818,0.0472732,-0.0129242,-0.824174,-1.65314,-0.618759,-0.816423,-1.18026,0.88658,0.514742,1.37308,1.68673,-0.805161,0.276057,-0.904037,0.0993916,0.0550718,0.415674,1.23255,-0.911703,-0.296082,0.496348,0.240166,-0.230259,-0.369996,1.88301,0.157305,-1.45183,-0.0150438,-1.42873,-1.11041,-1.81035,-0.126064,-0.774677,0.363442,0.221897,0.782507,0.304175,-0.385121,0.170118,-0.145736,0.835412,-0.193134,-0.423709,0.458647,-0.972626,0.277143,0.510734,-0.212843,-0.29038,0.342993,-0.111995,0.117769,0.0919602,2.27964,-0.716777,-0.122537,-0.711304,1.59586,-0.569949,-0.0146374,-0.827622,0.136495,-0.0946237,0.155328,-0.870992,0.0172141,0.549124,1.01449,-0.539567,0.00862699,1.48762,0.986123,-0.841605,-0.685362,2.32764,0.619915,1.52525,0.733594,0.390873,1.35111,-1.3243,0.388834,-0.467695,0.0265446,-1.15638,0.924405,0.956255,-1.13371,0.897612,-0.797169,0.479087,-0.343947,0.550757,1.81008,2.16845,2.51576,-1.09685,1.048,0.0130007,0.328506,1.72017,0.290497,0.406304,-0.977937,-0.0575747,1.09271,0.122273,1.08292,0.0165212,1.66686,1.22536,-1.86307,-1.39652,1.00062,-0.140139,-0.172291,0.368861,0.919887,0.603728,-0.985813,-0.356755,0.0587462,0.468442,-0.402723,-0.0114471,-1.51875,-0.508709,-0.566522,0.68239,0.112677,0.402435,-0.56327,-0.685206,-1.61366,0.171695,0.0119577,-0.326431,-0.190417,-0.0357685,-0.0437201,0.230619,0.147069,0.106818,0.079164,-0.0366956,-0.00720072,-0.00435396,-0.0300062,0.00975045,-0.0891701,-1.28392,0.0419115,-0.0114583,-0.730697,-1.46564,-0.54858,-0.723824,-1.04639,0.213965,0.570754,0.701131,-0.334685,0.11475,-0.375785,0.0413146,0.0228919,0.193886,-0.143416,-0.0465753,0.0780781,0.0377794,-0.036221,-0.0582022,0.296207,-0.322157,-0.00333818,-0.317032,-0.246397,-0.401712,-0.0279732,-0.171899,0.0806467,0.358894,0.139509,-0.176635,0.0780241,-0.0668415,0.383159,-0.0885802,-0.194333,-0.0894429,0.0254862,0.0469672,-0.0195731,-0.0267034,0.0315417,-0.0102991,0.0108301,0.311159,-0.0978363,-0.0167256,-0.0970892,0.217826,-0.0777951,-0.00199793,-0.112966,-0.140764,0.231069,-1.29571,0.0256081,0.816889,1.50917,-0.802672,0.0128337,1.33236,-1.1371,-0.926002,3.1449,0.837575,2.06078,0.991167,0.528113,-1.18871,0.349022,-0.419809,0.0238268,-1.03798,0.829757,0.858345,-1.01763,-0.835432,0.502083,-0.360456,0.577193,1.89696,2.27253,2.63651,-1.1495,0.11803,-0.284088,-0.0167253,0.317428,0.03552,0.314584,0.00479938,0.484218,0.355963,-0.541217,-0.405684,0.290678,-34.5183,4.06681
-776.297,0.966801,0.0230403,8,255,0,840.439,4.04227,-4.97065,0.109509,-0.679477,0.312977,1.62612,0.561303,0.318476,-1.15355,-0.79597,-0.563184,0.455522,-0.372148,0.143578,-3.18302,0.493065,-1.01308,-1.14985,0.762045,-0.0924724,-0.15202,-0.245961,-0.237329,-2.09006,0.398304,1.07806,0.439906,-2.11444,-1.52255,0.140366,0.248754,1.02717,0.777732,0.212614,1.78649,0.693017,-1.6586,-0.144225,0.452662,0.0127626,-0.380007,-0.285726,0.108276,-0.629875,-0.0216811,0.205624,-0.961679,-1.25689,-1.14675,0.134155,-1.77988,0.868756,0.745522,1.60747,2.38615,-1.03903,0.504354,0.570359,0.327393,-1.33618,0.114335,2.1605,-1.69399,-0.255682,0.317138,1.53868,-0.455227,-0.269162,0.0304913,0.397358,-1.63553,0.487827,-0.827857,-0.672712,-1.04632,0.101312,-0.585011,1.15533,0.206424,1.13592,0.65874,-0.0956645,0.559763,-1.0015,-0.988365,-0.662635,0.199731,0.51034,0.0755946,-0.763677,0.25143,-1.56944,-0.0296401,0.612933,-1.75736,0.614657,0.0378263,1.45505,-0.804057,-1.15651,-1.51726,1.84833,-1.01134,0.07601,0.170108,0.11011,0.13278,-0.0155635,-1.43476,0.919607,0.0016749,0.0973851,-1.64856,-0.599445,0.681851,0.475623,-0.402207,-0.325678,0.950835,-0.0228621,0.878886,0.0638305,0.979704,2.50669,-2.23174,0.114998,-0.770577,-0.486947,-1.16123,1.0862,-0.0112624,-0.514423,0.435976,-0.584814,0.728275,-0.463103,1.01882,0.321915,1.61525,2.45355,-2.19953,1.49129,0.00364577,0.327338,1.66526,0.31467,0.644722,-1.08608,-0.0849159,0.987839,0.62224,0.992124,0.187743,1.63152,0.960791,-1.8723,-0.530247,0.423675,0.0614674,-0.381392,0.175675,0.912743,0.157029,-0.568776,-0.392465,-0.277686,0.224602,-0.183493,0.0707931,-1.56944,-0.403512,-0.457988,0.303526,-0.0368321,-0.0605501,-0.0979673,-0.0945292,-0.832478,0.22921,0.0935304,-0.449561,-0.323716,0.0298438,0.0528887,0.218391,0.165357,0.193433,0.0750369,-0.179587,-0.0156161,0.0490123,0.00138188,-0.0411456,-0.0309372,-0.547207,-0.0188356,0.178637,-0.835464,-1.09193,-0.996248,0.116548,-1.54628,0.0852392,0.18379,0.27282,-0.118797,0.0576653,0.0652119,0.0374324,-0.152772,0.85849,-0.673121,-0.101597,0.126017,0.611405,-0.180888,-0.106954,0.0121159,-0.337613,0.100699,-0.17089,-0.138864,-0.215986,0.0209132,-0.120761,0.238489,0.579705,0.336182,-0.0488215,0.285669,-0.511108,-0.504403,-0.338169,0.101931,0.00285946,-0.0288871,0.00951068,-0.059366,-0.00112117,0.023185,-0.0664744,0.0232502,0.160216,-0.0885346,-0.127343,-0.167065,0.203519,-0.111359,0.00836945,0.0187306,0.0905358,-0.010612,-0.978291,0.627034,0.00114203,0.0664021,-1.12407,-0.408732,1.19224,-1.00821,-0.816372,2.38344,-0.057308,2.20309,0.160003,2.45581,-0.972983,0.0501364,-0.335953,-0.212297,-0.50627,0.473558,-0.00491014,-0.224276,-0.872128,1.08607,-0.690621,1.51935,0.480068,2.4088,3.65896,-3.28013,0.202875,-0.341758,-0.0267205,0.310844,0.195801,0.312192,0.0590772,0.513391,0.302333,-0.589157,-0.166853,0.133318,-34.3708,4.04227
-792.174,0.910875,0.0230403,8,255,0,864.492,4.14146,-1.63108,-0.779445,-0.175737,-0.599449,0.922812,2.03062,-0.0545431,-1.87837,0.752108,-0.0357424,0.977132,0.169303,0.00910989,-3.90329,0.293307,-1.52473,-0.50465,1.35821,-0.964351,-0.457644,-1.52439,-1.13317,-0.845841,0.54978,-1.25735,0.467219,0.656471,1.15773,-0.378419,0.804774,-0.59791,-1.18083,0.0653382,-1.16199,-0.652533,-0.951892,1.03686,-1.4394,-0.0363542,1.02573,0.55303,0.264892,-0.637681,-0.045167,-0.457097,-0.134419,-0.384232,-0.782726,0.216509,-1.42519,1.78002,0.0879221,0.324099,0.757912,-0.75103,0.520323,-0.755488,-0.716407,-0.880072,0.214993,-0.0719203,-1.10521,0.282013,-0.432571,1.68132,-0.121698,-0.251495,0.350572,0.586243,0.0421721,0.828659,0.950775,-0.279954,0.908032,-0.574428,0.204996,-1.42478,0.0801054,1.4652,0.529532,1.17679,1.45949,-0.583995,-0.624092,-1.3359,-0.710045,0.449785,1.51061,0.00758297,1.39411,-0.0678728,-0.0378049,0.741117,1.05497,0.0777968,0.238263,-0.762691,-0.491719,0.602585,1.63862,0.0650715,2.50739,-0.642588,-0.865192,0.803913,-0.48351,0.391693,-0.542687,-0.401988,-2.15271,-0.614393,1.23814,0.653278,0.502985,0.5433,-0.160918,-0.862148,-0.0200405,-0.163095,0.689943,0.108821,0.469229,0.939113,1.12869,-0.727802,-1.0568,0.542017,-1.06954,-0.026131,1.04901,-0.74108,0.526847,-0.462973,0.975703,-0.593666,-1.97678,1.14975,-0.473397,0.387031,0.277023,0.571332,0.0013263,0.439193,1.99005,0.498929,-0.0481464,-1.04763,-0.0686034,0.314783,-0.216131,0.507096,0.315051,0.643401,0.342976,-2.09802,0.227193,0.560764,-1.58275,-0.356855,-1.21725,1.87388,-0.0159979,-0.550939,0.220598,-0.0104835,0.286599,0.0496577,0.00267199,-1.14486,-0.838266,-0.277446,0.746716,-0.530181,-0.251604,-0.838077,-0.622992,-0.465026,-0.0821527,0.0305272,0.0428926,0.0756437,-0.0247252,0.0525825,-0.0390663,-0.0771536,-0.307803,-0.172851,-0.252149,0.274655,-0.381285,-0.00962993,0.271707,0.146493,-1.13509,-0.0803984,-0.813643,-0.23927,-0.683942,-1.39327,0.385391,-2.53686,0.0189027,0.0696791,0.162946,-0.161466,0.111866,-0.162425,-0.154023,-0.18921,-0.0421628,-0.647923,0.165328,-0.253592,0.985664,-0.0713445,-0.147437,0.205521,0.00337821,0.0663801,0.0761623,-0.0224258,0.0727383,-0.0460148,0.0164213,-0.114133,0.659024,0.238175,0.529303,0.656455,-0.262672,-0.280707,-0.600869,-0.319367,0.359921,0.00180674,0.332165,-0.0161715,-0.00900749,0.17658,0.25136,0.0185361,-0.613137,-0.395299,0.484426,1.3173,0.0523118,2.01573,-0.516584,-0.695539,-0.243199,0.197016,-0.272964,-0.202194,-1.08278,-0.309031,0.622768,0.32859,0.51022,-0.15112,-0.809655,-0.0188203,-0.153164,0.647935,0.102195,0.440659,0.594646,-0.38344,-0.556771,0.28556,-0.563486,-0.013767,0.552667,-0.390436,-0.264511,0.55745,-0.33918,-1.1294,0.656891,-0.270467,0.221123,0.158272,-0.0240216,-0.522693,-0.0342282,0.157054,-0.107834,0.253005,0.157188,0.321011,0.17112,-1.04676,0.113353,0.279781,-32.8451,4.14146
-788.753,0.953037,0.0230403,8,255,0,872.66,4.00857,-4.19772,-0.826859,-1.3905,0.100307,0.844979,1.01324,-0.547931,-0.321902,0.419144,0.169084,-0.303288,-1.32848,-0.999705,0.618714,0.458077,-0.228027,-0.34924,0.207953,0.20916,-0.0893231,-0.181689,-0.897135,-1.81063,1.11119,0.226994,-0.485166,-0.602132,0.401985,0.142142,-0.415559,-0.303957,0.18657,0.240582,1.56455,-1.20425,1.0819,-1.38,0.564266,1.26815,0.770999,-3.64167,0.409476,0.83306,-0.331974,-1.24759,-1.8912,-1.07228,-1.40927,-0.610223,-1.38677,0.982656,0.762414,-0.389293,-0.668964,-0.783857,0.685171,0.794174,0.840374,0.242032,0.144393,1.16475,-2.14386,-0.925734,1.13313,-0.192215,-1.30476,-0.142001,-0.94286,0.402516,0.0356326,0.455265,-0.164313,0.0905535,0.678703,1.90448,-1.0742,0.177478,0.0998476,0.108474,0.0777839,0.355128,0.335733,-0.574799,0.873818,1.61096,1.0145,1.65601,-1.10699,-0.455479,0.317086,1.46528,0.741632,-1.09635,0.152747,-0.500839,0.0435351,1.09283,-0.676453,-0.243967,0.490466,-0.113373,0.833552,0.936184,-1.30189,0.140398,-1.35978,1.50383,-1.56967,-1.33002,-1.40451,1.00083,0.684718,-2.34612,0.507926,-1.92202,-0.114498,-1.61517,-2.02037,-0.399693,-1.20534,-0.00344689,1.53664,0.111802,-0.459831,0.386151,-1.66011,-1.30752,-0.712319,1.36223,0.532592,-0.444084,0.554748,-0.964098,0.854747,0.232251,-1.32612,1.61148,-0.971889,1.64981,-0.919261,1.21651,0.0125458,0.367471,1.82219,0.310265,0.40748,-0.586022,-0.289988,0.719203,0.565769,1.28704,0.495144,1.57128,0.32827,-3.05581,-0.545408,-0.192941,-0.837807,-1.40891,0.101635,0.856168,-0.250995,-0.147456,0.192,0.0774534,-0.13893,-0.608544,-0.457942,0.283419,-0.253381,-0.38807,0.231075,0.232416,-0.0992546,-0.201891,-0.996884,-2.01195,0.0546108,-0.116722,-0.144862,0.0967106,0.0341967,-0.0999761,-0.0731267,0.0448853,0.640644,-0.49311,0.443011,-0.565075,0.231053,0.519277,0.315705,-1.49118,0.818612,-0.326217,-1.22595,-1.8584,-1.05368,-1.38482,-0.599639,-1.36271,0.110087,-0.056211,-0.0965934,-0.113183,0.0989336,0.114673,0.121344,0.0349476,0.468829,-0.862939,-0.372623,0.456105,-0.0773696,-0.525186,-0.0571575,-0.379516,0.00355783,0.0454571,-0.0164063,0.00904156,0.0677669,0.190157,-0.107256,0.0177207,0.179633,0.128811,0.588096,0.555977,-0.951872,1.44705,2.66776,1.68002,-0.0481928,-0.0198293,0.0138043,0.0637913,0.032287,-0.0477297,0.00664984,-0.0218041,0.153432,-0.094973,-0.0342525,0.0688606,-0.0159174,0.117029,0.131439,-0.182783,-0.690667,0.763833,-0.797276,-0.675553,-0.71339,0.508346,0.347786,-1.19166,-0.214886,-0.0128011,-0.180579,-0.225882,-0.0446866,-0.13476,-0.00038537,0.1718,-0.25509,0.214217,-0.92094,-0.725345,-0.395158,0.755693,0.295454,-0.246354,-1.17283,1.03981,0.282535,-1.61323,1.96037,-1.18231,2.007,-1.11829,0.126427,-0.181822,-0.089973,0.223143,0.175538,0.399322,0.153626,0.487514,0.101851,-0.948109,-0.169221,-0.0598629,-33.68,4.00857
-795.957,0.994198,0.0230403,8,255,0,862.944,3.99872,-1.7534,0.0190313,-0.741992,-0.277254,0.703053,0.91901,1.01522,-1.40451,0.348144,-1.17402,-0.0160432,0.694139,-0.261031,-3.14576,0.281016,-2.52381,0.190137,1.48474,-1.08986,-0.729468,0.0437581,-0.0777575,-0.782983,0.505681,-0.710242,0.66032,-0.706959,0.427139,-0.77069,2.36764,0.821076,0.553605,0.376014,-1.27413,2.15235,0.84112,0.865154,-2.4014,-0.581845,-0.94982,1.83032,0.0380022,-2.20031,0.0176039,0.401466,-0.444267,-1.27848,-0.562801,0.153933,-0.034257,0.95881,-1.13301,1.53163,-0.224201,-1.22869,0.000780917,0.224946,-0.854058,-0.0801582,0.530652,-0.295095,-0.213105,0.490737,0.066594,0.891279,-0.0648686,-0.00460666,0.635887,0.352341,-0.530823,-0.7185,-0.648771,0.33825,-1.07811,-2.02776,0.721522,-0.33558,0.146011,2.08622,1.67141,0.642422,0.915668,-0.153562,-0.952638,-1.51294,-1.356,0.247451,1.12003,0.713121,-0.279445,-1.0762,-0.415531,0.761245,-0.237098,0.710762,0.378894,0.110829,0.000985991,0.881644,0.989028,-0.123417,-0.686497,-0.601178,0.843151,0.442036,2.15818,0.853911,-3.10606,-0.159748,0.0973901,1.9205,-0.639453,1.19398,0.492025,1.46225,-0.660646,-0.339094,2.2231,-0.500208,0.901795,1.0228,-0.625332,0.938,0.280581,0.212481,-0.905306,-0.0373306,-0.312875,0.210319,-0.751325,0.16897,0.756398,0.0477091,0.656371,-0.54972,0.0955158,1.36546,-0.439721,1.03778,0.0230286,1.546,0.00880878,0.390107,1.98422,0.348887,0.435834,-1.28657,-0.215609,0.418526,0.00243038,0.801161,0.351185,1.19517,1.14993,-1.39551,0.830757,1.17807,0.01749,-0.681898,-0.254799,0.646113,0.285293,-0.394688,0.097834,-0.329917,-0.00450838,0.195064,-0.0733538,-0.884006,-1.27624,0.0961485,0.750806,-0.55112,-0.368878,0.0221276,-0.0393205,-0.39594,-0.267061,0.248289,-0.265826,0.16061,-0.28979,0.890266,0.308736,0.208163,-0.0484199,0.0817939,0.0319644,0.0328778,-0.0912585,-0.0221114,-0.0360953,0.0695561,-2.10967,0.0168788,0.38493,-0.425967,-1.22582,-0.539619,0.147593,-0.0328459,-0.601232,0.812763,-0.118973,-0.652007,0.000414395,0.119368,-0.453207,-0.0425361,-0.103974,-0.0750855,0.172907,0.0234638,0.314034,-0.0228559,-0.00162312,0.224049,-0.077506,-0.104909,-0.0947277,0.0493883,-0.157415,-0.296075,0.10535,-0.0489984,0.516236,0.413591,0.158968,0.226583,-0.0379989,-0.235731,-0.374378,-0.335542,0.424373,0.270197,-0.10588,-0.407767,-0.157442,0.288431,-0.089835,0.269303,0.0489902,0.000435844,0.389719,0.437186,-0.0545547,-0.303456,-0.265743,0.372703,1.06188,0.420146,-1.52826,-0.0786001,0.0479183,0.944934,-0.314627,0.587467,1.37159,-0.619686,-0.31807,2.08527,-0.469195,0.845884,0.959388,-0.586561,0.212231,0.16072,-0.684772,-0.0282368,-0.236658,0.159085,-0.5683,0.127808,0.0737583,1.01475,-0.849867,0.147668,2.111,-0.679809,1.60441,0.0356023,0.152057,-0.448869,-0.0752233,0.146018,0.000847928,0.279515,0.122524,0.41698,0.401196,-0.486874,0.28984,0.411012,-32.4737,3.99872
-780.293,0.959514,0.0230403,8,255,0,868.417,3.76592,-4.38197,-0.870166,-2.12952,-0.846112,-0.110571,0.949172,-0.457146,-1.418,0.566396,0.978688,-0.337981,0.686681,0.661968,-2.12441,0.665895,0.109806,-0.642042,-0.286385,-0.175919,0.193549,-0.0766378,-0.296277,-0.871547,1.30192,-0.941796,0.0467918,-1.56428,0.182936,-1.14381,0.582743,0.519949,0.145733,0.549809,0.233254,-0.236674,-0.652652,0.106595,-0.658564,1.94768,-0.773953,-2.09906,0.346186,-0.458613,-0.183861,-0.0708323,-0.599754,-1.54038,-0.661457,0.745048,-0.708666,1.29846,0.259782,0.528025,-0.160609,0.285657,-0.230932,0.610722,0.27596,0.000483843,0.399294,-0.912434,-0.68562,-0.0366636,0.978097,0.144176,-0.290192,-0.311336,0.420569,0.886397,-0.507112,-0.754186,-0.879251,0.825191,-0.374021,-2.2707,-0.228421,-0.491014,0.102421,0.377931,0.0452064,0.256449,-0.552157,1.37071,-1.65358,-0.113348,-0.205371,0.760194,-0.442597,0.740594,-1.5719,0.200077,-0.747214,-0.61406,0.961859,0.388929,0.0174548,-0.0878156,-1.24778,-1.6402,0.454307,1.52451,-0.767576,1.07066,0.292541,0.0359767,0.536844,-0.175362,-0.479264,0.0412652,0.0404645,-0.0208198,-0.707184,-1.32272,2.24994,1.33729,-0.566758,-0.885683,0.231774,1.01753,-0.980501,0.228278,0.924423,0.440305,1.29572,0.0563433,-1.54747,0.37067,0.12151,1.48747,1.78238,-1.46503,0.413946,-0.256099,0.235507,0.146974,-1.32095,1.7203,-0.0283762,0.767716,-0.387678,1.66824,0.0231405,0.402226,2.02082,0.433604,0.674261,-0.303025,0.750511,1.39762,1.11082,1.54026,0.853924,1.88389,1.78722,-2.38475,-0.00277187,0.93215,-0.825937,-2.02128,-0.803105,-0.104951,-0.304411,-0.944237,0.377161,0.651703,-0.22506,0.457257,0.440801,-1.41464,0.142958,-0.835884,-0.372849,-0.229032,0.251985,-0.0997759,-0.385728,-1.13468,-0.517808,0.0257266,-0.860056,0.10058,-0.628876,0.320397,0.285873,0.0801253,0.0807494,-0.0819332,-0.225939,0.0369017,-0.227986,0.67426,-0.267932,-0.726665,-0.595493,-0.238737,-0.0919732,-0.778759,-2.00012,-0.858878,0.967419,-0.920178,0.103729,0.210837,-0.06413,0.114061,-0.0922097,0.243857,0.110189,0.000193195,-0.808779,-0.607731,-0.0324985,0.866982,0.127797,-0.257226,-0.275968,0.372791,-0.051939,-0.0772447,-0.0900539,0.0845171,-0.0383077,-0.232568,-0.0233951,-0.0502903,0.287301,0.0343657,0.194951,-0.419747,1.04201,-1.25704,-0.0861667,-0.156122,-0.00772546,0.0129269,-0.0274372,0.00349231,-0.0130425,-0.0107183,0.0167891,0.00678868,-0.00315932,-0.044891,-0.059009,0.0163445,0.0548469,-0.0276149,0.0385189,0.0105247,1.20787,-0.394555,-1.07832,0.0928443,0.0910427,-0.0468434,-1.59112,-2.97604,0.588814,-0.249546,-0.389971,0.102051,0.448023,-0.43172,0.100512,0.407028,0.536359,0.0233231,-0.640572,0.153437,0.0502986,0.615733,0.737811,-0.606443,-0.427236,0.392883,0.245188,-2.20366,2.86987,-0.0473384,1.28074,-0.646741,0.292362,-0.131393,0.325425,0.606012,0.481656,0.667863,0.370265,0.816863,0.774947,-1.03404,-0.00120189,0.404184,-34.2239,3.76592
