# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2124536
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.9
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/cwrs/Documents/GitHub/cct-monitoring-private/models/gam-brms-z1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,zs_1_1.9,zs_1_1.10,zs_1_1.11,zs_1_1.12,zs_1_1.13,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,zs_3_1.9,zs_3_1.10,zs_3_1.11,zs_3_1.12,zs_3_1.13,zs_3_1.14,zs_3_1.15,zs_3_1.16,zs_3_1.17,zs_3_1.18,zs_3_1.19,zs_3_1.20,zs_3_1.21,zs_3_1.22,zs_3_1.23,zs_3_1.24,zs_3_1.25,zs_3_1.26,zs_3_1.27,zs_3_1.28,zs_3_1.29,zs_3_1.30,zs_3_1.31,zs_3_1.32,zs_3_1.33,zs_3_1.34,zs_3_1.35,zs_3_1.36,zs_3_1.37,zs_3_1.38,zs_3_1.39,zs_3_1.40,zs_3_1.41,zs_3_1.42,zs_3_1.43,zs_3_1.44,zs_3_1.45,zs_3_1.46,zs_3_1.47,zs_3_1.48,zs_3_1.49,zs_3_1.50,zs_3_1.51,zs_3_1.52,zs_3_1.53,zs_3_1.54,zs_3_1.55,zs_3_1.56,zs_3_1.57,zs_3_1.58,zs_3_1.59,zs_3_1.60,zs_3_1.61,zs_3_1.62,zs_3_1.63,zs_3_1.64,zs_3_2.1,zs_3_2.2,zs_3_2.3,zs_3_2.4,zs_3_2.5,zs_3_2.6,zs_3_2.7,zs_3_2.8,sds_3_1,sds_3_2,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_1_1.9,s_1_1.10,s_1_1.11,s_1_1.12,s_1_1.13,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_3_1.9,s_3_1.10,s_3_1.11,s_3_1.12,s_3_1.13,s_3_1.14,s_3_1.15,s_3_1.16,s_3_1.17,s_3_1.18,s_3_1.19,s_3_1.20,s_3_1.21,s_3_1.22,s_3_1.23,s_3_1.24,s_3_1.25,s_3_1.26,s_3_1.27,s_3_1.28,s_3_1.29,s_3_1.30,s_3_1.31,s_3_1.32,s_3_1.33,s_3_1.34,s_3_1.35,s_3_1.36,s_3_1.37,s_3_1.38,s_3_1.39,s_3_1.40,s_3_1.41,s_3_1.42,s_3_1.43,s_3_1.44,s_3_1.45,s_3_1.46,s_3_1.47,s_3_1.48,s_3_1.49,s_3_1.50,s_3_1.51,s_3_1.52,s_3_1.53,s_3_1.54,s_3_1.55,s_3_1.56,s_3_1.57,s_3_1.58,s_3_1.59,s_3_1.60,s_3_1.61,s_3_1.62,s_3_1.63,s_3_1.64,s_3_2.1,s_3_2.2,s_3_2.3,s_3_2.4,s_3_2.5,s_3_2.6,s_3_2.7,s_3_2.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0258955
# Diagonal elements of inverse mass matrix:
# 0.0104428, 6.38515, 0.737476, 0.392004, 0.10927, 0.136043, 0.22717, 0.266504, 0.644703, 0.356092, 0.841664, 0.665551, 0.718048, 0.819094, 0.731569, 0.275967, 0.159018, 0.230544, 0.357417, 0.425043, 0.703043, 0.720259, 1.04746, 0.876341, 0.200737, 0.865446, 0.778831, 0.803887, 0.730955, 0.724012, 0.627082, 0.452539, 0.21346, 0.826103, 0.805064, 0.823362, 0.777166, 0.655663, 0.525368, 0.391128, 0.25277, 0.902268, 0.871127, 0.842158, 0.807694, 0.677516, 0.609547, 0.338311, 0.230389, 0.713402, 0.844579, 0.784143, 0.85839, 0.591656, 0.509634, 0.423083, 0.277145, 0.885809, 0.921305, 1.05218, 0.74812, 0.569049, 0.51024, 0.384002, 0.257493, 0.688704, 1.04591, 0.669225, 0.748794, 0.587657, 0.449083, 0.408641, 0.240168, 0.90861, 0.914633, 0.839824, 0.841305, 0.658472, 0.524974, 0.394986, 0.243961, 0.843693, 0.88408, 0.781802, 0.79548, 0.672237, 0.532459, 0.445834, 0.232155, 0.229598, 0.343234, 0.238005, 0.204883, 0.235914, 0.211429, 0.215215, 0.273604, 0.0660502, 0.0787279, 1.93067, 0.00698998, 0.0798186
-564.758,0.999514,0.0258955,7,255,0,614.003,3.94429,-2.31098,1.10747,0.454275,0.416222,0.856554,-0.855396,-1.1177,0.729773,-0.333572,1.09222,-0.201871,-0.955589,2.46867,-0.794958,1.75039,0.208988,-0.391239,-0.245218,0.601052,-0.316654,0.71498,0.20956,-0.177041,0.106658,1.61461,-2.08208,-1.00539,1.15258,-0.120015,-0.278125,-1.36194,-0.0948527,-0.69536,0.654086,-0.112369,1.02057,1.48063,0.99472,-0.282067,1.2145,-0.6909,-0.138042,-0.122588,1.85213,-1.0332,1.69207,2.55737,-0.0551164,1.76624,0.548178,-0.294306,1.72736,0.74772,-0.783719,-1.61038,1.71646,0.505265,-0.190451,1.15638,-0.820041,-1.38586,1.81662,-0.118713,0.656897,-0.232582,0.126334,0.964494,0.169051,1.24121,-2.12456,1.56281,-0.396615,-1.24046,0.103804,0.342449,0.684886,-1.44101,0.575082,-0.667877,-0.793972,0.773785,-1.08836,0.599856,1.1211,-0.368169,0.459676,-1.31499,-0.863399,-0.218491,-1.12047,-0.0989767,0.552283,0.990147,0.770244,-0.294651,1.26547,0.820644,2.53527,0.00652951,0.434282,2.19436,1.93851,0.795157,0.72855,1.4993,-1.49727,-1.9564,1.27739,-0.58388,1.91181,-0.353353,-1.67265,4.32113,-1.39149,0.0222903,-0.0417288,-0.0261545,0.064107,-0.0337737,0.0762584,0.0223512,-0.0188828,1.32502,-1.70865,-0.825064,0.945859,-0.0984899,-0.228241,-1.11767,-0.0778403,-0.570643,0.536772,-0.0922152,0.837521,1.21507,0.816311,-0.231476,0.996675,-0.566983,-0.113283,-0.100601,1.51994,-0.847891,1.38859,2.09869,-0.045231,1.44945,0.449859,-0.241521,1.41755,0.613612,-0.643155,-1.32155,1.40861,0.414643,-0.156292,0.94898,-0.672962,-1.1373,1.4908,-0.0974213,0.539079,-0.190867,0.103676,0.791506,0.138731,1.01859,-1.74351,1.28251,-0.325479,-1.01797,0.0851859,0.281028,0.562047,-1.18255,0.471938,-0.548089,-0.651569,0.635002,-0.893158,0.492268,0.920024,-0.302136,0.37723,-1.07914,-0.708544,-0.553934,-2.8407,-0.250933,1.40019,2.51029,1.95278,-0.747019,3.2083,-16.9106,3.94429
-559.656,0.954585,0.0258955,7,127,0,607.245,3.90244,2.19295,-0.415587,0.788974,1.136,1.31325,0.073645,-1.77648,1.49075,-0.00701203,0.934986,1.15887,-0.123811,-1.99167,1.39998,1.23291,0.876939,-1.64773,-0.254437,0.736153,0.481949,-1.8868,0.0645081,0.231958,0.0247803,-1.32458,-0.74549,-0.0879004,-0.190507,0.66986,-1.15458,0.964864,-0.306331,1.47081,-0.169156,-1.27354,0.910058,-1.69086,1.03053,-2.4726,0.420628,0.661409,0.635265,0.678293,-0.670526,-0.671028,-0.758217,1.89117,-1.23909,0.264996,0.545659,0.427942,-1.49326,0.0850086,0.846078,0.271339,1.21269,-0.68761,-0.37541,-1.6804,0.194318,0.319545,0.603927,0.790158,0.0549859,-0.0106512,0.414056,-0.965296,0.440113,-0.975203,-1.02226,1.38395,-1.6836,1.85451,-0.246286,-1.13803,-1.02417,0.482174,0.543447,-0.138931,-1.52141,0.00531472,-0.217521,-2.01376,-0.678054,-0.0885447,0.415849,0.260544,-0.3573,-0.258026,-1.06694,-0.566502,1.62549,0.819303,1.25965,0.227044,1.77103,0.862935,2.44965,0.000822641,0.345791,1.93092,-0.51238,0.972731,1.40058,1.61911,0.0907974,-2.19023,1.83795,-0.00864517,1.15275,1.42878,-0.152648,-2.45554,1.72604,0.0217309,-0.0408313,-0.00630504,0.0182421,0.0119429,-0.0467555,0.00159853,0.00574799,-1.14302,-0.64331,-0.0758523,-0.164395,0.578046,-0.996331,0.832615,-0.264343,1.26921,-0.14597,-1.09898,0.785321,-1.4591,0.889278,-2.13369,0.362975,0.570753,0.548192,0.585323,-0.578621,-0.579054,-0.654292,1.63196,-1.06925,0.228674,0.470868,0.369286,-1.28858,0.0733569,0.730111,0.234148,1.04648,-0.593363,-0.323954,-1.45008,0.167684,0.275747,0.521149,0.681855,0.0474492,-0.0091913,0.357303,-0.832988,0.379789,-0.841537,-0.882141,1.19426,-1.45284,1.60032,-0.212528,-0.982042,-0.883794,0.416085,0.468959,-0.119889,-1.31287,0.00458626,-0.187706,-1.73774,-0.585116,-0.0764084,0.358851,0.224833,-0.308326,-0.632073,-2.61364,-1.38773,3.98187,2.00701,3.0857,0.556179,4.33841,-16.8323,3.90244
-566.684,0.966401,0.0258955,7,127,0,620.902,4.03917,3.32198,-0.731968,-0.0734602,0.293163,0.393419,0.0310132,-0.282104,1.00691,2.18167,0.578377,0.253198,-2.67784,1.87414,-0.868107,4.89154,0.532438,-1.71639,-0.67881,1.82193,0.784123,0.928824,-0.516424,-0.788278,0.0151152,1.84904,-1.29962,-0.0259638,0.545718,0.218282,-1.90935,-1.14901,-0.412433,0.594568,0.954107,-0.155951,-0.016082,1.08798,1.42355,-0.132657,0.184234,-1.05738,-0.688145,-1.05005,-0.246477,-1.92298,1.83857,0.767592,-0.739465,1.43304,1.80102,0.44768,0.340782,1.99488,-1.3091,-0.832186,0.767908,0.224717,1.51967,1.07709,1.31769,-1.04353,1.96931,-0.327375,-0.259477,-1.72611,0.381585,1.59152,-0.197606,1.3881,-0.459976,1.45238,-1.18899,-2.24159,1.4857,0.930209,-0.0259754,-0.0961476,-1.08869,0.0506348,-1.31281,0.0217456,-1.72294,-0.492897,0.238834,-0.738839,0.920495,0.687329,-0.541408,-0.0345297,-0.828963,-0.542703,0.563734,0.473237,0.856223,-0.142181,0.659936,1.1091,3.29854,0.0130004,0.320682,1.43379,-3.58045,-0.359333,1.43402,1.92443,0.151702,-1.37992,4.92533,10.6717,2.82915,1.23853,-13.0988,9.16743,-4.24638,0.0080479,-0.0259436,-0.0102603,0.0275389,0.0118522,0.0140394,-0.00780586,-0.011915,2.05077,-1.4414,-0.0287965,0.605255,0.242096,-2.11766,-1.27436,-0.457429,0.659434,1.0582,-0.172965,-0.0178365,1.20668,1.57886,-0.14713,0.204334,-1.17274,-0.763221,-1.16461,-0.273368,-2.13277,2.03916,0.851335,-0.82014,1.58938,1.99751,0.496521,0.37796,2.21252,-1.45192,-0.922977,0.851685,0.249233,1.68546,1.1946,1.46145,-1.15738,2.18416,-0.363092,-0.287786,-1.91443,0.423215,1.76515,-0.219164,1.53955,-0.510158,1.61083,-1.3187,-2.48615,1.64779,1.03169,-0.0288093,-0.106637,-1.20747,0.056159,-1.45603,0.024118,-1.91091,-0.546671,0.264891,-0.819445,1.02092,0.762316,-0.600475,-0.113897,-2.73436,-1.79013,1.8595,1.56099,2.82428,-0.46899,2.17682,-19.3457,4.03917
-556.364,0.969742,0.0258955,7,127,0,608.961,4.08138,-3.73324,0.864747,0.338887,0.511899,0.746271,-0.700944,-0.300575,2.57319,-1.49628,1.21943,-0.336047,-1.82879,-1.55663,0.146756,1.82361,0.43056,-0.961273,0.917566,0.0902075,-0.456248,-2.79641,0.287733,0.625687,0.0402544,-1.57066,-0.890761,0.285866,1.31622,0.646179,-1.62716,0.12979,-0.0841685,-0.736471,-0.475239,-2.15504,-0.0233389,-1.97102,0.390244,-2.02154,0.317173,1.45662,1.52898,1.98504,0.61467,-0.522115,-1.0704,1.02277,-0.0874975,-0.066466,-0.580681,1.17793,-0.294423,0.232963,0.165931,-0.285726,1.1934,0.680327,-1.26121,-1.14543,-1.68274,-0.569966,0.287641,0.542186,-0.241095,0.0136181,0.0353292,-1.09367,0.913043,-0.78734,-2.23375,1.05729,-0.94343,0.754408,0.511435,-2.10292,-0.454967,0.346553,-0.592998,0.137808,-0.823166,-0.504486,0.359799,-1.28945,-0.795374,-0.398856,-0.21935,0.22023,-0.509141,-0.941885,-1.61805,-1.23503,0.649294,0.0543939,0.524494,-0.588528,0.827395,1.11214,2.49836,0.00671209,0.345832,1.62013,1.57696,0.617999,0.933505,1.36091,-1.27825,-0.548133,4.69251,-2.72864,2.22376,-0.61282,-3.33501,-2.83869,0.267625,0.0173319,-0.0386955,0.0369361,0.00363125,-0.018366,-0.112568,0.0115825,0.0251867,-1.74679,-0.990648,0.317923,1.46382,0.71864,-1.80962,0.144344,-0.093607,-0.819057,-0.528532,-2.3967,-0.0259561,-2.19205,0.434005,-2.24823,0.35274,1.61996,1.70043,2.20764,0.683597,-0.580664,-1.19044,1.13746,-0.0973092,-0.0739193,-0.645797,1.31002,-0.327439,0.259087,0.184538,-0.317766,1.32722,0.756617,-1.40263,-1.27388,-1.87144,-0.633881,0.319897,0.602985,-0.268131,0.0151452,0.0392909,-1.21632,1.01543,-0.875631,-2.48424,1.17585,-1.04922,0.839005,0.568787,-2.33873,-0.505986,0.385415,-0.659496,0.153261,-0.915473,-0.561058,0.400146,-1.43404,-0.884565,-0.443583,-0.243947,0.244926,-0.566235,-2.35317,-4.04247,-3.08554,1.62217,0.135896,1.31037,-1.47035,2.06713,-17.8208,4.08138
-550.625,0.981169,0.0258955,7,127,0,611.5,3.95973,3.08455,0.188246,0.578404,1.13905,0.978811,-0.679877,-1.24559,0.755289,0.796869,1.7519,-0.166219,-0.363153,2.18611,0.103386,1.80748,0.295756,-1.09926,-0.434322,1.33619,0.886185,0.740178,-0.707686,-1.0851,0.0291979,0.93846,-2.32346,-0.50164,0.873929,0.920659,-1.93978,-0.864358,-0.166053,1.62456,0.59938,-1.42251,-0.27692,0.625535,1.02735,-0.232092,0.847346,-0.84533,-0.431257,-0.865824,-0.915505,-1.05171,1.53266,0.89981,-0.178277,-0.392019,1.61557,0.246409,-0.66715,2.27512,-1.85078,-0.904784,1.23907,0.896878,-0.209175,-0.860001,-0.303737,-1.82901,1.51519,-0.576912,-0.185595,-1.25038,0.305496,-0.26218,-1.53681,0.757767,-0.495529,1.03179,-0.555434,-0.537428,0.535304,-0.569201,-1.35997,-0.508469,-0.808784,-0.249293,-0.718018,0.315778,-2.79465,-0.61736,-0.56302,-0.294437,0.741072,0.451047,0.454495,-0.359075,-1.61607,-0.862143,1.03142,-0.0729128,0.470297,-0.54283,2.13215,1.1473,2.14861,0.00469202,0.35127,1.85555,0.340251,1.04545,2.05882,1.76918,-1.22886,-2.25137,1.36517,1.44032,3.16651,-0.300437,-0.65639,3.95134,0.186867,0.00863546,-0.032096,-0.0126813,0.0390141,0.0258748,0.0216117,-0.020663,-0.0316827,1.0767,-2.66571,-0.575532,1.00266,1.05627,-2.22551,-0.99168,-0.190513,1.86386,0.68767,-1.63204,-0.317711,0.717678,1.17868,-0.26628,0.972162,-0.969848,-0.494782,-0.993362,-1.05036,-1.20663,1.75843,1.03235,-0.204538,-0.449765,1.85355,0.282706,-0.765422,2.61025,-2.1234,-1.03806,1.42159,1.02899,-0.239986,-0.986681,-0.348478,-2.09843,1.73838,-0.661892,-0.212934,-1.43456,0.350496,-0.3008,-1.76319,0.869387,-0.568521,1.18378,-0.637251,-0.616592,0.614155,-0.653045,-1.5603,-0.583368,-0.927919,-0.286014,-0.823784,0.362293,-3.20631,-0.708299,-0.645954,-0.337808,0.850233,0.517488,0.521443,-0.771513,-3.47231,-1.85241,2.21612,-0.156661,1.01048,-1.16633,4.58116,-17.3044,3.95973
-570.82,0.995899,0.0258955,7,127,0,618.077,4.08631,-2.01827,-2.23257,0.995118,0.6111,1.27271,-1.43436,-1.4271,1.85158,0.120229,-1.09263,-0.968107,-1.38058,-1.12118,1.04445,1.15111,1.31047,-1.46135,0.797884,-1.28274,0.160279,-2.51036,-0.308566,2.00924,0.0305067,-0.365325,-0.151343,0.400647,0.887225,1.00808,-0.836886,-0.981199,0.163689,-0.258312,-0.0438673,-1.16508,0.410529,-1.17677,1.03892,-2.59209,1.09461,2.02141,1.39142,0.66476,0.121048,-1.15475,-0.071411,0.105466,0.223268,0.930111,-0.967131,-0.0323774,-1.03166,-0.271578,0.695559,-0.903159,1.08106,0.405273,1.57105,0.228574,-0.00125777,0.722434,1.08987,-0.161056,0.683265,0.955659,0.388001,0.617646,0.956653,-0.231337,-0.831276,0.706429,-0.516356,0.872938,1.50349,-0.945564,-0.250926,0.196357,0.433579,-0.331915,-0.22295,0.0325421,0.877403,-1.60743,-0.238184,0.687747,0.014737,-1.17321,0.400804,-0.700456,-1.97634,-1.35007,0.307384,0.99279,0.809116,-0.557583,0.871935,1.25938,2.36561,0.000127144,0.370722,1.90584,-2.56993,1.14549,0.703445,1.46503,-1.6511,-1.64275,2.13138,0.138398,-1.25774,-1.1144,-1.58921,-1.29061,1.20228,0.039978,-0.0445808,0.0243408,-0.039132,0.00488958,-0.0765827,-0.00941333,0.0612952,-0.460084,-0.190599,0.504568,1.11736,1.26956,-1.05396,-1.23571,0.206147,-0.325314,-0.0552458,-1.46728,0.517014,-1.482,1.3084,-3.26444,1.37854,2.54573,1.75234,0.837188,0.152446,-1.45427,-0.0899339,0.132822,0.281181,1.17137,-1.21799,-0.0407756,-1.29925,-0.342021,0.875977,-1.13742,1.36147,0.510394,1.97856,0.287863,-0.00158402,0.909822,1.37257,-0.202832,0.860493,1.20354,0.488642,0.777853,1.20479,-0.291342,-1.0469,0.889666,-0.650291,1.09936,1.89347,-1.19083,-0.316012,0.247289,0.546042,-0.418009,-0.28078,0.0409831,1.10499,-2.02438,-0.299966,0.866138,0.0185596,-1.47752,0.504767,-1.65701,-4.67526,-3.19375,0.727151,2.34856,1.91406,-1.31903,2.06266,-16.815,4.08631
