file,two_theta,intensity,code,layer,location
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.08001,0.09239130434782608,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.12001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.16001,0.08478260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.20001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.24001,0.06195652173913044,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.28001,0.09347826086956522,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.32001,0.08260869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.36001,0.08478260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.40001,0.08369565217391305,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.44001,0.08478260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.48001,0.08043478260869565,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.52001,0.08478260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.56001,0.07391304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.60001,0.07282608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.64001,0.08152173913043478,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.68001,0.09565217391304348,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.72001,0.09456521739130434,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.76001,0.08043478260869565,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.80001,0.08695652173913043,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.84001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.88001,0.08260869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.92001,0.09239130434782608,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,12.96001,0.06304347826086956,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.00001,0.06956521739130435,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.04001,0.07608695652173914,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.08001,0.06304347826086956,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.12001,0.0891304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.16001,0.06956521739130435,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.20001,0.08478260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.24001,0.07173913043478261,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.28001,0.06956521739130435,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.32001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.36001,0.06739130434782609,H1,L1,Halifax
